SimNo,ExtThrs,FlexThrs,Prop0,Prop1,Prop2,Prop3,Prop4,Prop5,Prop6,Prop7,Prop8
36,0.25,0,1,0.8793103,0.7068966,0.5862069,0.5517241,0.4310345,0.2413793,0.1034483,0
37,0.25,0,1,0.9137931,0.8448276,0.7241379,0.5517241,0.3965517,0.2586207,0.137931,0
38,0.25,0,1,0.9655172,0.8793103,0.7068966,0.637931,0.5172414,0.4137931,0.137931,0
39,0.25,0,1,0.8275862,0.7068966,0.6724138,0.5862069,0.4827586,0.362069,0.1206897,0
40,0.25,0,1,0.9655172,0.862069,0.5862069,0.4655172,0.3275862,0.2413793,0.1034483,0
41,0.25,0,1,0.8275862,0.7241379,0.4827586,0.362069,0.2758621,0.1724138,0.137931,0
42,0.25,0,1,0.9310345,0.8965517,0.7586207,0.637931,0.5517241,0.3448276,0.2241379,0.1034483
43,0.25,0,1,0.9137931,0.7931034,0.6896552,0.5689655,0.362069,0.1724138,0.137931,0
44,0.25,0,1,0.9137931,0.8448276,0.7413793,0.4827586,0.362069,0.3275862,0.2068966,0
45,0.25,0,1,0.8275862,0.6724138,0.5689655,0.3448276,0.2758621,0.1896552,0.1551724,0
46,0.25,0,1,0.8965517,0.6724138,0.5517241,0.5172414,0.3103448,0.1896552,0.1034483,0
47,0.25,0,1,0.8965517,0.7758621,0.5862069,0.5517241,0.4482759,0.3275862,0.2068966,0
48,0.25,0,1,0.9310345,0.8965517,0.7241379,0.637931,0.4827586,0.362069,0.2413793,0
49,0.25,0,1,0.9137931,0.7931034,0.6206897,0.5172414,0.2586207,0.2241379,0.1034483,0
50,0.25,0,1,0.9655172,0.862069,0.637931,0.5517241,0.4827586,0.3275862,0.2068966,0
51,0.25,0,1,0.9655172,0.7931034,0.6724138,0.5689655,0.4482759,0.362069,0.2413793,0
52,0.25,0,1,0.8793103,0.7758621,0.6896552,0.5689655,0.362069,0.2586207,0.137931,0
53,0.25,0,1,0.8275862,0.7068966,0.5862069,0.5517241,0.4310345,0.1896552,0.1034483,0
54,0.25,0,1,0.9137931,0.8448276,0.7241379,0.5517241,0.4482759,0.1724138,0.03448276,0
55,0.25,0,1,0.8793103,0.7758621,0.6551724,0.4310345,0.2241379,0.137931,0.0862069,0
56,0.25,0,1,0.8275862,0.7586207,0.6034483,0.5,0.2758621,0.137931,0.03448276,0
57,0.25,0,1,0.9310345,0.7586207,0.6206897,0.5,0.4482759,0.362069,0.2241379,0.1034483
58,0.25,0,1,0.8965517,0.7068966,0.6724138,0.5,0.3793103,0.2241379,0.1034483,0
59,0.25,0,1,0.9655172,0.8448276,0.7758621,0.637931,0.5172414,0.4310345,0.2241379,0.1034483
60,0.25,0,1,0.9655172,0.7931034,0.7241379,0.5689655,0.4827586,0.362069,0.2241379,0.1034483
61,0.25,0,1,0.9655172,0.862069,0.6896552,0.5344828,0.4137931,0.2931034,0.2068966,0
62,0.25,0,1,0.8793103,0.7586207,0.6551724,0.4310345,0.2241379,0.137931,0.1034483,0
63,0.25,0,1,0.9655172,0.8965517,0.8103448,0.7068966,0.4482759,0.2586207,0.137931,0
64,0.25,0,1,0.9310345,0.8103448,0.6896552,0.5689655,0.5172414,0.4310345,0.2241379,0.1034483
65,0.25,0,1,0.8275862,0.7241379,0.5344828,0.4655172,0.4310345,0.3103448,0.137931,0
66,0.25,0,1,0.9310345,0.8965517,0.7758621,0.6034483,0.4482759,0.3103448,0.1896552,0
67,0.25,0,1,0.9310345,0.7586207,0.637931,0.5517241,0.3965517,0.362069,0.2413793,0
68,0.25,0,1,0.8793103,0.8448276,0.637931,0.5517241,0.4310345,0.3275862,0.2068966,0
69,0.25,0,1,0.9310345,0.8103448,0.6896552,0.637931,0.4310345,0.3103448,0.0862069,0
70,0.25,0,1,0.8275862,0.6724138,0.637931,0.5517241,0.4482759,0.3448276,0.2241379,0
71,0.25,0,1,0.9655172,0.8965517,0.8103448,0.6724138,0.5517241,0.3275862,0.1206897,0
72,0.25,0,1,0.8275862,0.7931034,0.637931,0.5517241,0.4827586,0.362069,0.2241379,0.1034483
73,0.25,0,1,0.9310345,0.8275862,0.5862069,0.5344828,0.4137931,0.2931034,0.0862069,0
74,0.25,0,1,0.9655172,0.862069,0.637931,0.5344828,0.3448276,0.2586207,0.1206897,0
75,0.25,0,1,0.8965517,0.6206897,0.5344828,0.3965517,0.2586207,0.137931,0.03448276,0
76,0.25,0,1,0.8965517,0.6724138,0.4827586,0.362069,0.2758621,0.2413793,0.1034483,0
77,0.25,0,1,0.9310345,0.8103448,0.7068966,0.5862069,0.4482759,0.3275862,0.1206897,0
78,0.25,0,1,0.8965517,0.862069,0.7586207,0.637931,0.4482759,0.3103448,0.2241379,0.1034483
79,0.25,0,1,0.8965517,0.7241379,0.6034483,0.4310345,0.2758621,0.2241379,0.0862069,0
80,0.25,0,1,0.8965517,0.7068966,0.5862069,0.4655172,0.362069,0.2413793,0.2068966,0
81,0.25,0,1,0.8793103,0.7758621,0.5517241,0.3448276,0.2586207,0.2241379,0.1551724,0
82,0.25,0,1,0.8793103,0.7758621,0.5862069,0.5,0.3793103,0.2241379,0.0862069,0
83,0.25,0,1,0.8275862,0.6724138,0.637931,0.5344828,0.3448276,0.2241379,0.1034483,0
84,0.25,0,1,0.8793103,0.7586207,0.6551724,0.3448276,0.2758621,0.137931,0.0862069,0
85,0.25,0,1,0.9310345,0.8103448,0.7586207,0.637931,0.4310345,0.3103448,0.0862069,0
86,0.25,0,1,0.8965517,0.862069,0.7758621,0.6551724,0.4310345,0.3103448,0.2068966,0
87,0.25,0,1,0.9310345,0.8275862,0.637931,0.5172414,0.3965517,0.1896552,0.1551724,0
88,0.25,0,1,0.9137931,0.8448276,0.8103448,0.6896552,0.5689655,0.4655172,0.2068966,0
89,0.25,0,1,0.8793103,0.7758621,0.5689655,0.4827586,0.362069,0.2068966,0.1206897,0
90,0.25,0,1,0.8793103,0.6724138,0.637931,0.5689655,0.4827586,0.3448276,0.2241379,0.1034483
91,0.25,0,1,0.8965517,0.6724138,0.4827586,0.3965517,0.2586207,0.2241379,0.1034483,0
92,0.25,0,1,0.8965517,0.8103448,0.6896552,0.5344828,0.4137931,0.2241379,0.137931,0
93,0.25,0,1,0.9655172,0.7931034,0.6896552,0.5,0.362069,0.2413793,0.1034483,0
94,0.25,0,1,0.9137931,0.8793103,0.7586207,0.637931,0.5689655,0.4655172,0.1551724,0
95,0.25,0,1,0.8275862,0.7241379,0.5,0.3448276,0.2758621,0.2413793,0.0862069,0
96,0.25,0,1,0.8793103,0.7931034,0.6896552,0.4655172,0.362069,0.3275862,0.2068966,0
97,0.25,0,1,0.8965517,0.7068966,0.5862069,0.5,0.3793103,0.1724138,0.137931,0
98,0.25,0,1,0.8965517,0.862069,0.6724138,0.5689655,0.4482759,0.3275862,0.0862069,0
99,0.25,0,1,0.8965517,0.7068966,0.5862069,0.4827586,0.362069,0.3275862,0.137931,0
100,0.25,0,1,0.8965517,0.6724138,0.5517241,0.4655172,0.4137931,0.3275862,0.2068966,0
101,0.25,0,1,0.8793103,0.8103448,0.637931,0.6034483,0.4482759,0.3103448,0.1896552,0
102,0.25,0,1,0.8965517,0.8103448,0.7758621,0.6724138,0.5517241,0.362069,0.2413793,0
103,0.25,0,1,0.8793103,0.7586207,0.6551724,0.6206897,0.4137931,0.3275862,0.2241379,0.1034483
104,0.25,0,1,0.8965517,0.6724138,0.637931,0.5172414,0.4137931,0.3275862,0.1206897,0
105,0.25,0,1,0.8793103,0.7758621,0.637931,0.5517241,0.4310345,0.362069,0.1551724,0
106,0.25,0,1,0.9655172,0.862069,0.637931,0.5172414,0.3965517,0.2931034,0.0862069,0
107,0.25,0,1,0.8965517,0.6724138,0.5517241,0.5172414,0.4137931,0.2931034,0.2068966,0
108,0.25,0,1,0.8965517,0.7758621,0.7413793,0.6206897,0.4310345,0.3275862,0.2068966,0
109,0.25,0,1,0.9655172,0.8793103,0.7068966,0.5862069,0.4827586,0.3103448,0.137931,0
110,0.25,0,1,0.9655172,0.8793103,0.7758621,0.5517241,0.3448276,0.2241379,0.1551724,0
111,0.25,0,1,0.9655172,0.7931034,0.637931,0.5689655,0.4655172,0.2758621,0.1206897,0
112,0.25,0,1,0.8965517,0.6206897,0.4827586,0.3965517,0.362069,0.2586207,0.137931,0
113,0.25,0,1,0.9137931,0.8448276,0.7241379,0.6034483,0.5,0.1896552,0.1551724,0
114,0.25,0,1,0.8965517,0.6206897,0.5,0.3448276,0.2586207,0.137931,0.03448276,0
115,0.25,0,1,0.9310345,0.8275862,0.6896552,0.5344828,0.4137931,0.2931034,0.2068966,0
116,0.25,0,1,0.8275862,0.7068966,0.6724138,0.5172414,0.4137931,0.2413793,0.0862069,0
117,0.25,0,1,0.9310345,0.7586207,0.6551724,0.3965517,0.3448276,0.2068966,0.0862069,0
118,0.25,0,1,0.8793103,0.8103448,0.6896552,0.5689655,0.5172414,0.3965517,0.2068966,0
119,0.25,0,1,0.8965517,0.8103448,0.7068966,0.6724138,0.5517241,0.362069,0.2413793,0
120,0.25,0,1,0.8965517,0.7068966,0.5344828,0.3793103,0.3103448,0.2758621,0.1551724,0
121,0.25,0,1,0.8275862,0.7413793,0.637931,0.3965517,0.2931034,0.1551724,0.1206897,0
122,0.25,0,1,0.9655172,0.8793103,0.7068966,0.5517241,0.4482759,0.3448276,0.2241379,0.1034483
123,0.25,0,1,0.9310345,0.8448276,0.7068966,0.5172414,0.4827586,0.362069,0.137931,0
124,0.25,0,1,0.8965517,0.8103448,0.6896552,0.5862069,0.5517241,0.4310345,0.2068966,0
125,0.25,0,1,0.8965517,0.6724138,0.5517241,0.362069,0.3275862,0.2241379,0.137931,0
126,0.25,0,1,0.8793103,0.7068966,0.5862069,0.5,0.4655172,0.362069,0.2413793,0
127,0.25,0,1,0.8793103,0.8448276,0.637931,0.5344828,0.3448276,0.2241379,0.1034483,0
128,0.25,0,1,0.9137931,0.7931034,0.6896552,0.4655172,0.3448276,0.2413793,0.03448276,0
129,0.25,0,1,0.9310345,0.8103448,0.7241379,0.6034483,0.3965517,0.362069,0.2241379,0.1034483
130,0.25,0,1,0.8965517,0.7758621,0.6551724,0.4310345,0.3448276,0.2413793,0.03448276,0
131,0.25,0,1,0.8793103,0.6724138,0.5689655,0.4310345,0.3103448,0.1896552,0.0862069,0
132,0.25,0,1,0.8965517,0.7241379,0.637931,0.4827586,0.362069,0.1551724,0.1206897,0
133,0.25,0,1,0.8965517,0.7586207,0.637931,0.5172414,0.3965517,0.3103448,0.2068966,0
134,0.25,0,1,0.9137931,0.8103448,0.637931,0.6034483,0.4827586,0.362069,0.2068966,0
135,0.25,0,1,0.8965517,0.7586207,0.637931,0.5172414,0.3103448,0.1896552,0.0862069,0
136,0.25,0,1,0.9655172,0.862069,0.6724138,0.5689655,0.4310345,0.3103448,0.1206897,0
137,0.25,0,1,0.8965517,0.6724138,0.5862069,0.4655172,0.362069,0.2413793,0.03448276,0
138,0.25,0,1,0.9137931,0.7931034,0.6896552,0.3793103,0.2586207,0.2241379,0.1551724,0
139,0.25,0,1,0.9655172,0.8965517,0.7758621,0.637931,0.5517241,0.362069,0.2241379,0.1034483
140,0.25,0,1,0.9655172,0.8793103,0.8103448,0.6724138,0.4827586,0.362069,0.2413793,0
141,0.25,0,1,0.9137931,0.7931034,0.7241379,0.5862069,0.5517241,0.4310345,0.3103448,0
142,0.25,0,1,0.8965517,0.7758621,0.7413793,0.6206897,0.4310345,0.3275862,0.2068966,0
143,0.25,0,1,0.8793103,0.8448276,0.6724138,0.6034483,0.5,0.2241379,0.0862069,0
144,0.25,0,1,0.9655172,0.8793103,0.7758621,0.6724138,0.5517241,0.3275862,0.2068966,0
145,0.25,0,1,0.8793103,0.7586207,0.6896552,0.5689655,0.4655172,0.2586207,0.137931,0
146,0.25,0,1,0.8965517,0.6206897,0.5862069,0.5,0.362069,0.2586207,0.137931,0
147,0.25,0,1,0.8793103,0.6724138,0.6034483,0.4827586,0.362069,0.2586207,0.137931,0
148,0.25,0,1,0.8965517,0.6724138,0.5517241,0.4655172,0.3448276,0.137931,0.03448276,0
149,0.25,0,1,0.9310345,0.7586207,0.7241379,0.5689655,0.4827586,0.3793103,0.1551724,0
150,0.25,0,1,0.8965517,0.6724138,0.637931,0.4310345,0.3448276,0.2241379,0.1551724,0
151,0.25,0,1,0.9310345,0.8103448,0.7241379,0.6034483,0.5,0.1896552,0.03448276,0
152,0.25,0,1,0.8965517,0.6724138,0.5517241,0.4655172,0.362069,0.1724138,0.137931,0
153,0.25,0,1,0.8275862,0.6724138,0.637931,0.5344828,0.362069,0.2413793,0.0862069,0
154,0.25,0,1,0.9137931,0.8103448,0.5344828,0.3965517,0.2586207,0.1551724,0.03448276,0
155,0.25,0,1,0.9655172,0.7931034,0.6724138,0.5344828,0.4482759,0.3275862,0.2241379,0.1034483
156,0.25,0,1,0.9137931,0.8448276,0.7413793,0.5172414,0.4827586,0.362069,0.1551724,0
157,0.25,0,1,0.8793103,0.7758621,0.6034483,0.3965517,0.3103448,0.1896552,0.1551724,0
158,0.25,0,1,0.8965517,0.6724138,0.637931,0.5517241,0.3448276,0.2241379,0.1206897,0
159,0.25,0,1,0.8793103,0.7758621,0.6551724,0.5689655,0.4482759,0.137931,0.03448276,0
160,0.25,0,1,0.8793103,0.7758621,0.637931,0.4310345,0.3103448,0.2413793,0.0862069,0
161,0.25,0,1,0.8793103,0.7068966,0.5517241,0.4655172,0.3965517,0.2586207,0.137931,0
162,0.25,0,1,0.9655172,0.8448276,0.7413793,0.5172414,0.3965517,0.1896552,0.1034483,0
163,0.25,0,1,0.8965517,0.7758621,0.5517241,0.4310345,0.2241379,0.137931,0.03448276,0
164,0.25,0,1,0.8793103,0.7931034,0.7586207,0.6551724,0.4827586,0.3103448,0.137931,0
165,0.25,0,1,0.8793103,0.8448276,0.6724138,0.5517241,0.4137931,0.2931034,0.0862069,0
166,0.25,0,1,0.8275862,0.6724138,0.5862069,0.5517241,0.4827586,0.362069,0.2586207,0
167,0.25,0,1,0.8275862,0.7241379,0.5862069,0.4310345,0.3103448,0.2241379,0.1206897,0
168,0.25,0,1,0.9310345,0.8275862,0.5862069,0.4655172,0.2758621,0.1724138,0.137931,0
169,0.25,0,1,0.8793103,0.8103448,0.637931,0.5344828,0.2758621,0.1724138,0.03448276,0
170,0.25,0,1,0.8965517,0.7758621,0.5862069,0.5,0.3965517,0.362069,0.2241379,0.1034483
171,0.25,0,1,0.8965517,0.862069,0.7413793,0.4482759,0.3448276,0.2068966,0.0862069,0
172,0.25,0,1,0.9310345,0.7586207,0.6551724,0.4655172,0.3103448,0.2758621,0.1206897,0
173,0.25,0,1,0.9655172,0.7931034,0.6724138,0.5689655,0.4482759,0.2586207,0.137931,0
174,0.25,0,1,0.8793103,0.7758621,0.6551724,0.5172414,0.4310345,0.3103448,0.2068966,0
175,0.25,0,1,0.8793103,0.8103448,0.7758621,0.6551724,0.5172414,0.3965517,0.2068966,0
176,0.25,0,1,0.8793103,0.7068966,0.5862069,0.5517241,0.4655172,0.3275862,0.2241379,0.1034483
177,0.25,0,1,0.8275862,0.7931034,0.7241379,0.637931,0.4827586,0.362069,0.137931,0
178,0.25,0,1,0.9655172,0.8793103,0.8103448,0.637931,0.4827586,0.3793103,0.1551724,0
179,0.25,0,1,0.8965517,0.6724138,0.637931,0.5172414,0.3965517,0.1896552,0.0862069,0
180,0.25,0,1,0.9655172,0.862069,0.637931,0.5172414,0.3965517,0.2931034,0.2068966,0
181,0.25,0,1,0.8965517,0.7758621,0.5862069,0.4655172,0.2758621,0.2241379,0.0862069,0
182,0.25,0,1,0.9137931,0.7931034,0.7586207,0.6896552,0.5689655,0.362069,0.2241379,0.1034483
183,0.25,0,1,0.8965517,0.6724138,0.6034483,0.5689655,0.4137931,0.2068966,0.0862069,0
184,0.25,0,1,0.8275862,0.7241379,0.5517241,0.5172414,0.3965517,0.2241379,0.0862069,0
185,0.25,0,1,0.8965517,0.7758621,0.6551724,0.4310345,0.3965517,0.1896552,0.0862069,0
186,0.25,0,1,0.8793103,0.7758621,0.7413793,0.6206897,0.5,0.1896552,0.0862069,0
187,0.25,0,1,0.8965517,0.6206897,0.5862069,0.4310345,0.3448276,0.2241379,0.1551724,0
188,0.25,0,1,0.8275862,0.7586207,0.7241379,0.6206897,0.3448276,0.2241379,0.137931,0
189,0.25,0,1,0.8965517,0.7758621,0.5862069,0.4655172,0.2758621,0.137931,0.03448276,0
190,0.25,0,1,0.9310345,0.8965517,0.7586207,0.6724138,0.5517241,0.4310345,0.2241379,0.1034483
191,0.25,0,1,0.9137931,0.8103448,0.6206897,0.4827586,0.3793103,0.2586207,0.03448276,0
192,0.25,0,1,0.8793103,0.7931034,0.7241379,0.6896552,0.5689655,0.4310345,0.2241379,0.1034483
193,0.25,0,1,0.8793103,0.8448276,0.7241379,0.5172414,0.4137931,0.1896552,0.1034483,0
194,0.25,0,1,0.8965517,0.6724138,0.5862069,0.4137931,0.2758621,0.1724138,0.03448276,0
195,0.25,0,1,0.8965517,0.8103448,0.6896552,0.5689655,0.4482759,0.2931034,0.0862069,0
196,0.25,0,1,0.9310345,0.8448276,0.7068966,0.6724138,0.5517241,0.4310345,0.2241379,0.1034483
197,0.25,0,1,0.9655172,0.8965517,0.7241379,0.6206897,0.3965517,0.2413793,0.0862069,0
198,0.25,0,1,0.8965517,0.7758621,0.6551724,0.4482759,0.3275862,0.1896552,0.1034483,0
199,0.25,0,1,0.9310345,0.8103448,0.6896552,0.5689655,0.4482759,0.2931034,0.0862069,0
200,0.25,0,1,0.9310345,0.8103448,0.6896552,0.4827586,0.4310345,0.3448276,0.2241379,0.1034483
201,0.25,0,1,0.9137931,0.7931034,0.6724138,0.4655172,0.362069,0.2586207,0.2241379,0.1034483
202,0.25,0,1,0.8965517,0.7586207,0.6724138,0.5,0.362069,0.2586207,0.1206897,0
203,0.25,0,1,0.9655172,0.8448276,0.7758621,0.637931,0.5172414,0.2931034,0.2068966,0
204,0.25,0,1,0.9655172,0.8793103,0.7068966,0.6034483,0.3793103,0.3103448,0.137931,0
205,0.25,0,1,0.9655172,0.862069,0.6896552,0.5344828,0.4137931,0.3275862,0.2068966,0
206,0.25,0,1,0.8793103,0.8103448,0.6896552,0.5862069,0.3965517,0.362069,0.1551724,0
207,0.25,0,1,0.8275862,0.7586207,0.6551724,0.4310345,0.2758621,0.2413793,0.0862069,0
208,0.25,0,1,0.9310345,0.8103448,0.7241379,0.6034483,0.5,0.1896552,0.03448276,0
209,0.25,0,1,0.9310345,0.8103448,0.6034483,0.5689655,0.4310345,0.3448276,0.2241379,0
210,0.25,0,1,0.8965517,0.6724138,0.637931,0.4310345,0.3103448,0.2413793,0.0862069,0
211,0.25,0,1,0.9310345,0.8103448,0.6896552,0.3965517,0.2586207,0.2068966,0.0862069,0
212,0.25,0,1,0.8793103,0.8103448,0.6896552,0.6551724,0.5689655,0.4655172,0.2068966,0
213,0.25,0,1,0.9655172,0.8965517,0.7758621,0.6896552,0.5172414,0.362069,0.2241379,0.1034483
214,0.25,0,1,0.9137931,0.7931034,0.7586207,0.5517241,0.4827586,0.3793103,0.1551724,0
215,0.25,0,1,0.9310345,0.7586207,0.637931,0.5517241,0.5172414,0.362069,0.2586207,0
216,0.25,0,1,0.9310345,0.8103448,0.6896552,0.5862069,0.3965517,0.362069,0.2241379,0.1034483
217,0.25,0,1,0.9137931,0.8448276,0.7413793,0.5172414,0.4827586,0.3103448,0.137931,0
218,0.25,0,1,0.9310345,0.8448276,0.7241379,0.6896552,0.5689655,0.362069,0.2241379,0.1034483
219,0.25,0,1,0.8793103,0.6724138,0.6034483,0.5689655,0.4482759,0.3448276,0.0862069,0
220,0.25,0,1,0.8793103,0.7931034,0.7241379,0.6206897,0.3103448,0.2758621,0.1206897,0
221,0.25,0,1,0.8793103,0.7931034,0.6724138,0.6034483,0.4655172,0.4310345,0.3103448,0
222,0.25,0,1,0.8965517,0.7758621,0.4827586,0.3965517,0.2586207,0.137931,0.03448276,0
223,0.25,0,1,0.9310345,0.7586207,0.6206897,0.5689655,0.4827586,0.362069,0.1206897,0
224,0.25,0,1,0.8965517,0.7758621,0.5862069,0.5,0.3965517,0.2758621,0.03448276,0
225,0.25,0,1,0.9310345,0.8448276,0.7241379,0.6206897,0.3448276,0.1896552,0.1551724,0
226,0.25,0,1,0.8793103,0.7931034,0.7586207,0.6551724,0.5517241,0.362069,0.2413793,0
227,0.25,0,1,0.8793103,0.7758621,0.5,0.4655172,0.3965517,0.3103448,0.137931,0
228,0.25,0,1,0.8965517,0.7758621,0.6551724,0.4482759,0.362069,0.3103448,0.2241379,0.1034483
229,0.25,0,1,0.8275862,0.7413793,0.637931,0.3793103,0.3103448,0.1896552,0.03448276,0
230,0.25,0,1,0.8965517,0.8103448,0.6206897,0.4827586,0.4310345,0.3103448,0.1206897,0
231,0.25,0,1,0.8793103,0.7586207,0.6551724,0.4827586,0.3965517,0.2413793,0.2068966,0
232,0.25,0,1,0.8965517,0.7758621,0.6896552,0.637931,0.5517241,0.4310345,0.2241379,0.1034483
233,0.25,0,1,0.8965517,0.6724138,0.5,0.4655172,0.3965517,0.2413793,0.0862069,0
234,0.25,0,1,0.8793103,0.8103448,0.6034483,0.5689655,0.4655172,0.2413793,0.1551724,0
235,0.25,0,1,0.8965517,0.7586207,0.5862069,0.5172414,0.3965517,0.2413793,0.1551724,0
236,0.25,0,1,0.8965517,0.8103448,0.6896552,0.5689655,0.5172414,0.4310345,0.3103448,0
237,0.25,0,1,0.8965517,0.6724138,0.6034483,0.5172414,0.3448276,0.1724138,0.137931,0
238,0.25,0,1,0.9137931,0.8448276,0.7413793,0.6034483,0.4310345,0.3103448,0.1551724,0
239,0.25,0,1,0.8275862,0.7068966,0.5862069,0.5,0.362069,0.2586207,0.137931,0
240,0.25,0,1,0.8793103,0.8448276,0.7241379,0.637931,0.5344828,0.3275862,0.2068966,0
241,0.25,0,1,0.8793103,0.7758621,0.5517241,0.4655172,0.2758621,0.2413793,0.1034483,0
242,0.25,0,1,0.9655172,0.8965517,0.7758621,0.6724138,0.4482759,0.2931034,0.2068966,0
243,0.25,0,1,0.8793103,0.7758621,0.5862069,0.5,0.4655172,0.362069,0.2241379,0.1034483
244,0.25,0,1,0.8965517,0.7758621,0.6551724,0.4655172,0.3448276,0.137931,0.0862069,0
245,0.25,0,1,0.8965517,0.8103448,0.6896552,0.5,0.3793103,0.1724138,0.137931,0
246,0.25,0,1,0.8965517,0.6724138,0.5517241,0.4310345,0.3448276,0.3103448,0.2068966,0
247,0.25,0,1,0.8965517,0.7586207,0.6724138,0.5517241,0.4310345,0.3275862,0.2068966,0
248,0.25,0,1,0.8965517,0.7758621,0.5517241,0.4655172,0.4310345,0.2241379,0.1034483,0
249,0.25,0,1,0.9310345,0.8103448,0.6896552,0.5862069,0.4655172,0.2586207,0.2241379,0.1034483
250,0.25,0,1,0.8965517,0.7068966,0.6724138,0.5517241,0.3275862,0.1896552,0.1034483,0
251,0.25,0,1,0.8793103,0.7758621,0.6551724,0.5689655,0.4655172,0.4310345,0.2241379,0.1034483
252,0.25,0,1,0.9310345,0.8103448,0.6206897,0.5,0.2758621,0.1724138,0.137931,0
253,0.25,0,1,0.8965517,0.7068966,0.6206897,0.5,0.2931034,0.2586207,0.137931,0
254,0.25,0,1,0.8965517,0.7758621,0.5517241,0.4655172,0.2758621,0.137931,0.03448276,0
255,0.25,0,1,0.9137931,0.8448276,0.7068966,0.5862069,0.5517241,0.4310345,0.137931,0
256,0.25,0,1,0.8965517,0.7068966,0.5689655,0.4482759,0.362069,0.2413793,0.03448276,0
257,0.25,0,1,0.9137931,0.7931034,0.6896552,0.4655172,0.3448276,0.137931,0.03448276,0
258,0.25,0,1,0.9137931,0.8448276,0.6724138,0.5689655,0.3103448,0.1551724,0.03448276,0
