SimNo,ExtThrs,FlexThrs,Prop0,Prop1,Prop2,Prop3,Prop4,Prop5,Prop6,Prop7,Prop8,Prop9,Prop10
40,0.25,0,1,0.9487179,0.8974359,0.8717949,0.7692308,0.7179487,0.6410256,0.5897436,0.5384615,0.1538462,0
41,0.25,0,1,0.9230769,0.8974359,0.7948718,0.7435897,0.6923077,0.6410256,0.5897436,0.4615385,0.4102564,0
42,0.25,0,1,0.9230769,0.8717949,0.8205128,0.7692308,0.7179487,0.6410256,0.5897436,0.5384615,0.1538462,0
43,0.25,0,1,0.974359,0.9230769,0.8205128,0.7692308,0.6923077,0.6410256,0.5897436,0.2820513,0.1538462,0
44,0.25,0,1,0.9487179,0.8974359,0.8717949,0.8461538,0.7692308,0.7179487,0.5897436,0.5384615,0.1538462,0
45,0.25,0,1,0.9487179,0.8974359,0.8205128,0.7692308,0.6923077,0.6410256,0.5897436,0.4615385,0.4102564,0
46,0.25,0,1,0.9230769,0.8717949,0.8205128,0.7692308,0.6923077,0.6410256,0.5897436,0.5384615,0.4102564,0
47,0.25,0,1,0.9487179,0.8974359,0.8205128,0.7692308,0.7435897,0.7179487,0.5897436,0.2820513,0.1538462,0
48,0.25,0,1,0.9487179,0.8974359,0.8461538,0.8205128,0.7179487,0.6410256,0.5897436,0.5384615,0.4102564,0
49,0.25,0,1,0.9487179,0.9230769,0.8717949,0.8205128,0.7948718,0.6666667,0.5897436,0.5384615,0.1538462,0
50,0.25,0,1,0.974359,0.8974359,0.8461538,0.7948718,0.6923077,0.6410256,0.5897436,0.5384615,0.1538462,0
51,0.25,0,1,0.9487179,0.8717949,0.8205128,0.7948718,0.6923077,0.6410256,0.5897436,0.4615385,0.05128205,0
52,0.25,0,1,0.9487179,0.8974359,0.8461538,0.7692308,0.6923077,0.6410256,0.5897436,0.5384615,0.1538462,0
53,0.25,0,1,0.9487179,0.8974359,0.8205128,0.7692308,0.7179487,0.6410256,0.5897436,0.5384615,0.1538462,0
54,0.25,0,1,0.9230769,0.7948718,0.7435897,0.6923077,0.6410256,0.5641026,0.5128205,0.4615385,0.4102564,0
55,0.25,0,1,0.974359,0.9230769,0.8717949,0.8205128,0.7179487,0.6410256,0.5897436,0.2820513,0.1538462,0
56,0.25,0,1,0.7179487,0.6666667,0.6153846,0.5641026,0.4615385,0.4102564,0.3589744,0.2820513,0.05128205,0
57,0.25,0,1,0.9487179,0.8974359,0.8717949,0.7692308,0.6923077,0.6410256,0.5897436,0.4615385,0.4102564,0
58,0.25,0,1,0.9487179,0.8974359,0.8717949,0.8205128,0.7948718,0.7435897,0.6666667,0.5384615,0.4102564,0
59,0.25,0,1,0.974359,0.9230769,0.8717949,0.7692308,0.7179487,0.6666667,0.5897436,0.5384615,0.4102564,0
60,0.25,0,1,0.9487179,0.8974359,0.8717949,0.8205128,0.7435897,0.6410256,0.3333333,0.2820513,0.1538462,0
61,0.25,0,1,0.9487179,0.8717949,0.8205128,0.7435897,0.6923077,0.6410256,0.5897436,0.2820513,0.1538462,0
62,0.25,0,1,0.9487179,0.8974359,0.8717949,0.8205128,0.7435897,0.6410256,0.5897436,0.5384615,0.1538462,0
63,0.25,0,1,0.9487179,0.8974359,0.8461538,0.7692308,0.7179487,0.6410256,0.5128205,0.4615385,0.05128205,0
64,0.25,0,1,0.9487179,0.8974359,0.8461538,0.8205128,0.7948718,0.7179487,0.4102564,0.2820513,0.1538462,0
65,0.25,0,1,0.9487179,0.8974359,0.8461538,0.8205128,0.6923077,0.6410256,0.5641026,0.4615385,0.4102564,0
66,0.25,0,1,0.9487179,0.8974359,0.8461538,0.8205128,0.7179487,0.6410256,0.5897436,0.5384615,0.1538462,0
67,0.25,0,1,0.9230769,0.8717949,0.8205128,0.7692308,0.7179487,0.6410256,0.5897436,0.5384615,0.4102564,0
68,0.25,0,1,0.974359,0.9230769,0.8717949,0.7435897,0.6923077,0.6666667,0.5897436,0.5384615,0.4102564,0
69,0.25,0,1,0.9487179,0.8717949,0.8205128,0.7692308,0.7179487,0.6923077,0.3333333,0.2820513,0.1282051,0
70,0.25,0,1,0.974359,0.8461538,0.7948718,0.7435897,0.6410256,0.5641026,0.5128205,0.4615385,0.4102564,0
71,0.25,0,1,0.9487179,0.8974359,0.7692308,0.7179487,0.6666667,0.5897436,0.2051282,0.1538462,0.1282051,0
72,0.25,0,1,0.9487179,0.8717949,0.8461538,0.8205128,0.7692308,0.7179487,0.6666667,0.5384615,0.1538462,0
73,0.25,0,1,0.9487179,0.9230769,0.8974359,0.8205128,0.7692308,0.6410256,0.5897436,0.5384615,0.4102564,0
74,0.25,0,1,0.9487179,0.8974359,0.8205128,0.7435897,0.6923077,0.6410256,0.5897436,0.5384615,0.1538462,0
75,0.25,0,1,0.9487179,0.8974359,0.8717949,0.8205128,0.7948718,0.6666667,0.5897436,0.4615385,0.05128205,0
76,0.25,0,1,0.9487179,0.9230769,0.8717949,0.7948718,0.7692308,0.7179487,0.6666667,0.5384615,0.4102564,0
77,0.25,0,1,0.974359,0.9487179,0.8974359,0.8205128,0.7692308,0.7179487,0.5897436,0.5384615,0.1538462,0
78,0.25,0,1,0.9487179,0.9230769,0.8717949,0.8461538,0.7692308,0.7179487,0.6666667,0.5384615,0.4102564,0
79,0.25,0,1,0.9487179,0.6666667,0.4358974,0.3846154,0.3333333,0.2820513,0.2564103,0.1282051,0.05128205,0
80,0.25,0,1,0.9487179,0.8974359,0.8205128,0.7692308,0.4615385,0.4102564,0.2820513,0.2307692,0.1538462,0
81,0.25,0,1,0.9487179,0.8974359,0.8205128,0.7948718,0.7692308,0.7179487,0.5897436,0.5384615,0.1538462,0
82,0.25,0,1,0.9487179,0.9230769,0.8717949,0.8205128,0.7692308,0.7435897,0.6666667,0.2820513,0.1538462,0
83,0.25,0,1,0.9487179,0.9230769,0.8717949,0.8461538,0.7179487,0.6666667,0.5897436,0.5384615,0.4102564,0
84,0.25,0,1,0.9487179,0.8974359,0.8717949,0.8461538,0.7692308,0.7179487,0.5897436,0.4615385,0.4102564,0
85,0.25,0,1,0.9487179,0.8974359,0.8205128,0.7435897,0.6923077,0.6410256,0.5897436,0.5384615,0.4102564,0
86,0.25,0,1,0.9487179,0.9230769,0.8717949,0.8205128,0.7948718,0.7179487,0.5897436,0.4615385,0.4102564,0
87,0.25,0,1,0.9487179,0.9230769,0.8974359,0.8205128,0.6923077,0.6410256,0.5897436,0.5384615,0.4102564,0
88,0.25,0,1,0.9487179,0.8974359,0.8205128,0.7692308,0.4615385,0.4102564,0.3333333,0.2820513,0.05128205,0
89,0.25,0,1,0.974359,0.9230769,0.8717949,0.8205128,0.7692308,0.6923077,0.6666667,0.5384615,0.4102564,0
90,0.25,0,1,0.9230769,0.8717949,0.8205128,0.7435897,0.6923077,0.6410256,0.5897436,0.5384615,0.1538462,0
91,0.25,0,1,0.9487179,0.9230769,0.8205128,0.7692308,0.7179487,0.6666667,0.5897436,0.5384615,0.4102564,0
92,0.25,0,1,0.974359,0.9230769,0.8974359,0.8461538,0.7948718,0.6666667,0.5897436,0.5384615,0.1538462,0
93,0.25,0,1,0.9230769,0.8717949,0.8205128,0.7692308,0.7179487,0.6410256,0.5897436,0.5384615,0.1538462,0
94,0.25,0,1,0.9487179,0.9230769,0.8717949,0.7948718,0.7692308,0.7179487,0.4102564,0.2820513,0.1538462,0
95,0.25,0,1,0.9487179,0.8974359,0.8205128,0.7435897,0.6923077,0.6410256,0.5897436,0.2820513,0.05128205,0
96,0.25,0,1,0.974359,0.9230769,0.8717949,0.7948718,0.6923077,0.6410256,0.5897436,0.5384615,0.1538462,0
97,0.25,0,1,0.9487179,0.8974359,0.8717949,0.7948718,0.7692308,0.6410256,0.5897436,0.2820513,0.1538462,0
98,0.25,0,1,0.9487179,0.8974359,0.8717949,0.5897436,0.5128205,0.4102564,0.3589744,0.2820513,0.1538462,0
99,0.25,0,1,0.974359,0.8717949,0.8205128,0.7692308,0.7179487,0.6666667,0.5897436,0.4615385,0.4102564,0
100,0.25,0,1,0.9487179,0.8974359,0.8717949,0.8205128,0.7435897,0.7179487,0.5897436,0.2820513,0.05128205,0
101,0.25,0,1,0.9230769,0.8717949,0.8205128,0.7692308,0.6923077,0.6410256,0.5897436,0.5384615,0.1538462,0
102,0.25,0,1,0.9487179,0.9230769,0.8717949,0.7692308,0.7179487,0.6666667,0.5897436,0.2820513,0.05128205,0
103,0.25,0,1,0.9487179,0.8974359,0.8717949,0.7948718,0.7692308,0.6410256,0.5897436,0.5384615,0.4102564,0
104,0.25,0,1,0.9487179,0.9230769,0.8205128,0.7692308,0.7179487,0.6666667,0.5897436,0.5384615,0.4102564,0
105,0.25,0,1,0.9487179,0.8717949,0.8205128,0.7692308,0.6923077,0.6410256,0.5897436,0.5384615,0.4102564,0
106,0.25,0,1,0.9487179,0.8717949,0.7435897,0.6923077,0.6410256,0.6153846,0.5897436,0.4615385,0.05128205,0
107,0.25,0,1,0.974359,0.9230769,0.8974359,0.8461538,0.7948718,0.7179487,0.5897436,0.4615385,0.05128205,0
108,0.25,0,1,0.9487179,0.9230769,0.8205128,0.7692308,0.7179487,0.6666667,0.5897436,0.5384615,0.4102564,0
109,0.25,0,1,0.9487179,0.9230769,0.8717949,0.8461538,0.7948718,0.7179487,0.4102564,0.2820513,0.1538462,0
110,0.25,0,1,0.9487179,0.9230769,0.8717949,0.8461538,0.7948718,0.6666667,0.5897436,0.5384615,0.4102564,0
111,0.25,0,1,0.9487179,0.8717949,0.8461538,0.7948718,0.7692308,0.7179487,0.5897436,0.4615385,0.4102564,0
112,0.25,0,1,0.9487179,0.8974359,0.8461538,0.8205128,0.7179487,0.6666667,0.5897436,0.5384615,0.1538462,0
113,0.25,0,1,0.9230769,0.8717949,0.8461538,0.7948718,0.7435897,0.7179487,0.5897436,0.5384615,0.1538462,0
114,0.25,0,1,0.9487179,0.8717949,0.8205128,0.7692308,0.7435897,0.7179487,0.5897436,0.5384615,0.4102564,0
115,0.25,0,1,0.9487179,0.6666667,0.6153846,0.5641026,0.5128205,0.4871795,0.3589744,0.2820513,0.1538462,0
116,0.25,0,1,0.9230769,0.8717949,0.8205128,0.7948718,0.7692308,0.7179487,0.5897436,0.4615385,0.4102564,0
117,0.25,0,1,0.9487179,0.8974359,0.8717949,0.7692308,0.6923077,0.6410256,0.5897436,0.5384615,0.4102564,0
118,0.25,0,1,0.9487179,0.9230769,0.8205128,0.7692308,0.7179487,0.6410256,0.5897436,0.4615385,0.4102564,0
119,0.25,0,1,0.9487179,0.8974359,0.8461538,0.8205128,0.7435897,0.7179487,0.4102564,0.2820513,0.1538462,0
120,0.25,0,1,0.9487179,0.9230769,0.8974359,0.8461538,0.7692308,0.7179487,0.5897436,0.4615385,0.05128205,0
121,0.25,0,1,0.9487179,0.8974359,0.8717949,0.7948718,0.7435897,0.7179487,0.4102564,0.1794872,0.05128205,0
122,0.25,0,1,0.9487179,0.8974359,0.8205128,0.7948718,0.7692308,0.7179487,0.6666667,0.5384615,0.1538462,0
123,0.25,0,1,0.9487179,0.8717949,0.8205128,0.7692308,0.7435897,0.6153846,0.5128205,0.1025641,0.05128205,0
124,0.25,0,1,0.9487179,0.8974359,0.8461538,0.8205128,0.7435897,0.6410256,0.5897436,0.2820513,0.1538462,0
125,0.25,0,1,0.9487179,0.8974359,0.8717949,0.7948718,0.7692308,0.4615385,0.4102564,0.2820513,0.05128205,0
126,0.25,0,1,0.9487179,0.9230769,0.8717949,0.8205128,0.7435897,0.6410256,0.5897436,0.5384615,0.4102564,0
127,0.25,0,1,0.9230769,0.8717949,0.8205128,0.7692308,0.6923077,0.6410256,0.5897436,0.5384615,0.4102564,0
128,0.25,0,1,0.9487179,0.8974359,0.8717949,0.8205128,0.7179487,0.6666667,0.5897436,0.4615385,0.4102564,0
129,0.25,0,1,0.9487179,0.8974359,0.8717949,0.8205128,0.7948718,0.7435897,0.6153846,0.5384615,0.4102564,0
130,0.25,0,1,0.9230769,0.8717949,0.8205128,0.7435897,0.6923077,0.6410256,0.5897436,0.2820513,0.05128205,0
131,0.25,0,1,0.9230769,0.8717949,0.8205128,0.7692308,0.6923077,0.6410256,0.5897436,0.2820513,0.05128205,0
132,0.25,0,1,0.9487179,0.8974359,0.8717949,0.7435897,0.7179487,0.6666667,0.5897436,0.1794872,0.05128205,0
133,0.25,0,1,0.9487179,0.8974359,0.8205128,0.7435897,0.6923077,0.6410256,0.5897436,0.4615385,0.4102564,0
134,0.25,0,1,0.9487179,0.8974359,0.8205128,0.7435897,0.6923077,0.3846154,0.3333333,0.2820513,0.1538462,0
135,0.25,0,1,0.9230769,0.8717949,0.8205128,0.7948718,0.7435897,0.4615385,0.3589744,0.1282051,0.05128205,0
136,0.25,0,1,0.9487179,0.8717949,0.8205128,0.7692308,0.7179487,0.6666667,0.5897436,0.2820513,0.1538462,0
137,0.25,0,1,0.974359,0.9487179,0.8974359,0.8461538,0.7179487,0.6666667,0.3589744,0.2820513,0.1538462,0
138,0.25,0,1,0.9487179,0.8974359,0.8461538,0.8205128,0.4358974,0.3846154,0.2820513,0.2307692,0.1538462,0
139,0.25,0,1,0.9487179,0.8974359,0.8461538,0.7692308,0.7435897,0.6410256,0.5897436,0.5384615,0.4102564,0
140,0.25,0,1,0.974359,0.9230769,0.8974359,0.8461538,0.7179487,0.6666667,0.5897436,0.5384615,0.4102564,0
141,0.25,0,1,0.974359,0.9230769,0.6153846,0.5641026,0.4358974,0.3589744,0.3076923,0.2051282,0.05128205,0
142,0.25,0,1,0.9487179,0.8717949,0.8205128,0.7948718,0.6923077,0.6410256,0.5897436,0.5384615,0.1538462,0
143,0.25,0,1,0.9487179,0.9230769,0.8717949,0.7692308,0.6923077,0.6410256,0.5897436,0.5384615,0.4102564,0
144,0.25,0,1,0.9487179,0.8974359,0.8461538,0.7692308,0.6923077,0.6410256,0.5897436,0.5384615,0.1538462,0
145,0.25,0,1,0.9487179,0.9230769,0.8717949,0.8205128,0.7435897,0.7179487,0.6666667,0.5384615,0.1538462,0
146,0.25,0,1,0.9487179,0.8974359,0.8461538,0.7692308,0.6923077,0.6410256,0.5897436,0.5384615,0.1538462,0
147,0.25,0,1,0.974359,0.9230769,0.8717949,0.8205128,0.7435897,0.6410256,0.5897436,0.5384615,0.1538462,0
148,0.25,0,1,0.9487179,0.9230769,0.8717949,0.7948718,0.6923077,0.3846154,0.3333333,0.2051282,0.1538462,0
149,0.25,0,1,0.9487179,0.8974359,0.8205128,0.7692308,0.7179487,0.6410256,0.5897436,0.5384615,0.4102564,0
150,0.25,0,1,0.9487179,0.8974359,0.8205128,0.7692308,0.7435897,0.4358974,0.3333333,0.2820513,0.05128205,0
151,0.25,0,1,0.9487179,0.8974359,0.8717949,0.8205128,0.7948718,0.6666667,0.5897436,0.5384615,0.1538462,0
152,0.25,0,1,0.9230769,0.8717949,0.8205128,0.7692308,0.7435897,0.6153846,0.5897436,0.4615385,0.4102564,0
153,0.25,0,1,0.9487179,0.8717949,0.8461538,0.7948718,0.7692308,0.7179487,0.5897436,0.4615385,0.05128205,0
154,0.25,0,1,0.9487179,0.8974359,0.8205128,0.7692308,0.7179487,0.6923077,0.6666667,0.5384615,0.1538462,0
155,0.25,0,1,0.9487179,0.8974359,0.8717949,0.8205128,0.7435897,0.7179487,0.6666667,0.5384615,0.1538462,0
156,0.25,0,1,0.9487179,0.8974359,0.8205128,0.7692308,0.6923077,0.6410256,0.5897436,0.5384615,0.1538462,0
157,0.25,0,1,0.9487179,0.8717949,0.8205128,0.7692308,0.7179487,0.6410256,0.5897436,0.4615385,0.4102564,0
158,0.25,0,1,0.9487179,0.8974359,0.8717949,0.7948718,0.7435897,0.7179487,0.5897436,0.5384615,0.4102564,0
159,0.25,0,1,0.9487179,0.8974359,0.8461538,0.7692308,0.7179487,0.6410256,0.5897436,0.4615385,0.4102564,0
160,0.25,0,1,0.9487179,0.9230769,0.8461538,0.7948718,0.7692308,0.7179487,0.6666667,0.5384615,0.1538462,0
161,0.25,0,1,0.974359,0.9487179,0.8974359,0.8461538,0.7692308,0.7179487,0.6666667,0.5384615,0.1538462,0
162,0.25,0,1,0.9487179,0.8974359,0.8205128,0.7692308,0.6923077,0.6410256,0.5897436,0.5384615,0.1538462,0
163,0.25,0,1,0.9487179,0.8974359,0.8461538,0.8205128,0.7948718,0.7179487,0.4102564,0.1794872,0.05128205,0
164,0.25,0,1,0.974359,0.9230769,0.8717949,0.8461538,0.7948718,0.6666667,0.5384615,0.4871795,0.4102564,0
165,0.25,0,1,0.9487179,0.8717949,0.8461538,0.7948718,0.7435897,0.6923077,0.5897436,0.5384615,0.4102564,0
166,0.25,0,1,0.9487179,0.8717949,0.8205128,0.5384615,0.4615385,0.4102564,0.3333333,0.2051282,0.1538462,0
167,0.25,0,1,0.9487179,0.9230769,0.8717949,0.8461538,0.7179487,0.6410256,0.5897436,0.2820513,0.1538462,0
168,0.25,0,1,0.9487179,0.6666667,0.6153846,0.5641026,0.4615385,0.3846154,0.3333333,0.2051282,0.1538462,0
169,0.25,0,1,0.974359,0.9230769,0.8717949,0.8205128,0.7692308,0.6666667,0.6153846,0.5384615,0.1538462,0
170,0.25,0,1,0.9487179,0.9230769,0.8717949,0.7692308,0.7179487,0.6666667,0.5897436,0.5384615,0.1538462,0
171,0.25,0,1,0.9487179,0.8717949,0.8205128,0.7692308,0.7179487,0.6410256,0.5897436,0.4615385,0.05128205,0
172,0.25,0,1,0.9487179,0.8717949,0.7948718,0.7435897,0.6923077,0.6410256,0.5897436,0.5384615,0.4102564,0
173,0.25,0,1,0.9487179,0.9230769,0.8717949,0.7948718,0.7435897,0.6923077,0.5897436,0.5384615,0.1538462,0
174,0.25,0,1,0.974359,0.9230769,0.8717949,0.7435897,0.7179487,0.5897436,0.5384615,0.4615385,0.4102564,0
175,0.25,0,1,0.974359,0.8974359,0.8461538,0.7948718,0.7692308,0.6410256,0.5897436,0.4615385,0.4102564,0
176,0.25,0,1,0.974359,0.9230769,0.8717949,0.8205128,0.7948718,0.6666667,0.5897436,0.5384615,0.4102564,0
177,0.25,0,1,0.9487179,0.8974359,0.8717949,0.7948718,0.7435897,0.6410256,0.5897436,0.4615385,0.4102564,0
178,0.25,0,1,0.974359,0.9230769,0.8205128,0.7692308,0.7179487,0.6410256,0.5897436,0.5384615,0.4102564,0
179,0.25,0,1,0.9487179,0.8974359,0.6153846,0.5641026,0.5384615,0.4358974,0.3589744,0.2820513,0.1538462,0
180,0.25,0,1,0.9487179,0.8974359,0.8461538,0.8205128,0.7435897,0.7179487,0.5897436,0.5384615,0.4102564,0
181,0.25,0,1,0.9487179,0.8974359,0.7692308,0.7179487,0.6923077,0.5897436,0.5384615,0.4615385,0.05128205,0
182,0.25,0,1,0.9487179,0.8974359,0.8461538,0.8205128,0.7435897,0.7179487,0.5897436,0.2820513,0.05128205,0
183,0.25,0,1,0.9487179,0.9230769,0.8461538,0.7948718,0.6923077,0.6410256,0.3333333,0.2820513,0.1538462,0
184,0.25,0,1,0.9487179,0.9230769,0.8717949,0.8205128,0.7692308,0.6923077,0.5897436,0.5384615,0.4102564,0
185,0.25,0,1,0.9487179,0.9230769,0.8205128,0.7692308,0.7179487,0.6410256,0.5897436,0.2820513,0.1538462,0
186,0.25,0,1,0.9230769,0.8717949,0.8205128,0.5384615,0.4871795,0.4358974,0.4102564,0.2820513,0.1538462,0
187,0.25,0,1,0.9230769,0.8461538,0.7948718,0.7435897,0.6923077,0.6410256,0.3333333,0.2820513,0.05128205,0
188,0.25,0,1,0.9487179,0.8974359,0.8461538,0.7692308,0.7435897,0.7179487,0.5897436,0.2820513,0.1538462,0
189,0.25,0,1,0.974359,0.9230769,0.8717949,0.8461538,0.7948718,0.6666667,0.5384615,0.4615385,0.05128205,0
190,0.25,0,1,0.9487179,0.9230769,0.8717949,0.7692308,0.7179487,0.6666667,0.5897436,0.5384615,0.4102564,0
191,0.25,0,1,0.9487179,0.8974359,0.8717949,0.7692308,0.7179487,0.6666667,0.5897436,0.4615385,0.4102564,0
192,0.25,0,1,0.9487179,0.9230769,0.8717949,0.8461538,0.7692308,0.7179487,0.5897436,0.5384615,0.1538462,0
193,0.25,0,1,0.9487179,0.8974359,0.8717949,0.8205128,0.7435897,0.6410256,0.5897436,0.4615385,0.4102564,0
194,0.25,0,1,0.9487179,0.8974359,0.8717949,0.8205128,0.7948718,0.7179487,0.5897436,0.5384615,0.4102564,0
195,0.25,0,1,0.9487179,0.9230769,0.8974359,0.8461538,0.7179487,0.6410256,0.5897436,0.5384615,0.4102564,0
196,0.25,0,1,0.9487179,0.8974359,0.8461538,0.7692308,0.7179487,0.6410256,0.5897436,0.5384615,0.4102564,0
197,0.25,0,1,0.9487179,0.9230769,0.8205128,0.7692308,0.7179487,0.6410256,0.5897436,0.2820513,0.05128205,0
198,0.25,0,1,0.9487179,0.9230769,0.8717949,0.8461538,0.7948718,0.7435897,0.6666667,0.5384615,0.4102564,0
199,0.25,0,1,0.9230769,0.8717949,0.8205128,0.7692308,0.7179487,0.6410256,0.5897436,0.5384615,0.1538462,0
200,0.25,0,1,0.974359,0.9230769,0.8205128,0.7692308,0.7179487,0.6410256,0.5897436,0.4615385,0.05128205,0
201,0.25,0,1,0.9487179,0.8717949,0.8461538,0.7948718,0.6923077,0.6410256,0.5897436,0.4615385,0.05128205,0
202,0.25,0,1,0.9487179,0.9230769,0.8717949,0.8205128,0.7948718,0.7435897,0.6153846,0.5384615,0.4102564,0
203,0.25,0,1,0.9487179,0.8974359,0.8461538,0.8205128,0.7179487,0.6666667,0.5897436,0.5384615,0.4102564,0
204,0.25,0,1,0.9487179,0.9230769,0.8974359,0.8461538,0.7179487,0.6666667,0.5897436,0.4615385,0.4102564,0
205,0.25,0,1,0.9487179,0.8974359,0.8717949,0.8461538,0.7948718,0.7179487,0.5897436,0.4615385,0.05128205,0
206,0.25,0,1,0.9487179,0.8974359,0.8205128,0.7692308,0.7179487,0.6923077,0.5897436,0.5384615,0.1538462,0
207,0.25,0,1,0.9487179,0.8974359,0.8717949,0.8205128,0.7948718,0.7179487,0.5897436,0.4615385,0.4102564,0
208,0.25,0,1,0.9487179,0.9230769,0.8717949,0.7692308,0.6923077,0.6410256,0.5897436,0.2820513,0.1538462,0
209,0.25,0,1,0.9487179,0.8717949,0.8205128,0.7435897,0.6923077,0.6410256,0.5897436,0.5384615,0.1538462,0
210,0.25,0,1,0.9487179,0.8974359,0.8461538,0.8205128,0.7435897,0.6410256,0.5897436,0.5384615,0.4102564,0
