SimNo,ExtThrs,FlexThrs,Prop0,Prop1,Prop2,Prop3,Prop4,Prop5,Prop6,Prop7,Prop8,Prop9,Prop10,Prop11,Prop12,Prop13,Prop14,Prop15,Prop16,Prop17,Prop18,Prop19,Prop20,Prop21,Prop22,Prop23,Prop24,Prop25,Prop26,Prop27,Prop28,Prop29,Prop30,Prop31,Prop32,Prop33,Prop34,Prop35,Prop36,Prop37,Prop38,Prop39
11,0.25,0,1,0.969697,0.9469697,0.9318182,0.8712121,0.8636364,0.8560606,0.8484848,0.8333333,0.8181818,0.7651515,0.7575758,0.75,0.7348485,0.719697,0.7045455,0.6893939,0.5606061,0.5530303,0.5454545,0.530303,0.4621212,0.4469697,0.4318182,0.4242424,0.3939394,0.3333333,0.3030303,0.2878788,0.2727273,0.2575758,0.2272727,0.1893939,0.1742424,0.1287879,0.1212121,0.1060606,0.06060606,0.01515152,0
12,0.25,0,1,0.969697,0.9090909,0.9015152,0.8787879,0.8636364,0.8484848,0.8181818,0.7954545,0.780303,0.6893939,0.6590909,0.5757576,0.5530303,0.4772727,0.469697,0.4545455,0.4469697,0.4318182,0.4166667,0.3939394,0.3863636,0.3712121,0.3560606,0.3409091,0.3257576,0.3106061,0.280303,0.2575758,0.2424242,0.2121212,0.1363636,0.1212121,0.1060606,0.06818182,0.0530303,0.03787879,0.02272727,0.01515152,0
13,0.25,0,1,0.9848485,0.969697,0.9469697,0.9242424,0.8939394,0.8636364,0.8409091,0.8257576,0.8181818,0.8030303,0.7878788,0.780303,0.7651515,0.75,0.7121212,0.6666667,0.6515152,0.6363636,0.6212121,0.4924242,0.4242424,0.4090909,0.3560606,0.280303,0.2727273,0.2575758,0.2424242,0.2348485,0.219697,0.1969697,0.1893939,0.1666667,0.1136364,0.07575758,0.06818182,0.0530303,0.02272727,0.01515152,0
14,0.25,0,1,0.9772727,0.9318182,0.9166667,0.9090909,0.8939394,0.8636364,0.8333333,0.8106061,0.7954545,0.7878788,0.780303,0.7651515,0.719697,0.7045455,0.6893939,0.6818182,0.6666667,0.6515152,0.6439394,0.6287879,0.6136364,0.5757576,0.5606061,0.4166667,0.4090909,0.3787879,0.3333333,0.3257576,0.3106061,0.2272727,0.219697,0.1439394,0.1287879,0.09848485,0.08333333,0.06818182,0.0530303,0.03787879,0.01515152
15,0.25,0,1,0.9924242,0.969697,0.9621212,0.9469697,0.9393939,0.9090909,0.8863636,0.8560606,0.8333333,0.8181818,0.7727273,0.7575758,0.7424242,0.7272727,0.6666667,0.6590909,0.6363636,0.5984848,0.5757576,0.5606061,0.4924242,0.4772727,0.469697,0.4545455,0.4318182,0.4166667,0.2727273,0.2575758,0.219697,0.1969697,0.1818182,0.1666667,0.1515152,0.1363636,0.1287879,0.0530303,0.03787879,0.01515152,0
16,0.25,0,1,0.9924242,0.9848485,0.9772727,0.969697,0.9545455,0.9393939,0.9015152,0.8409091,0.8257576,0.8106061,0.7651515,0.6439394,0.6287879,0.6212121,0.6060606,0.5757576,0.5606061,0.5227273,0.5151515,0.5,0.4924242,0.469697,0.4545455,0.4393939,0.4318182,0.3863636,0.3712121,0.3409091,0.3257576,0.3106061,0.2954545,0.280303,0.2651515,0.2424242,0.219697,0.1818182,0.09090909,0.07575758,0
17,0.25,0,1,0.9772727,0.9242424,0.8712121,0.8636364,0.8409091,0.8030303,0.7954545,0.7651515,0.7424242,0.719697,0.6666667,0.6515152,0.5757576,0.5606061,0.5454545,0.5378788,0.5227273,0.5,0.4848485,0.4621212,0.3333333,0.3181818,0.3030303,0.2878788,0.2727273,0.219697,0.2045455,0.1893939,0.1742424,0.1590909,0.1439394,0.1060606,0.06818182,0.06060606,0.0530303,0.04545455,0.03030303,0.01515152,0
18,0.25,0,1,0.9924242,0.9772727,0.9621212,0.9469697,0.9318182,0.9242424,0.9090909,0.8863636,0.8787879,0.8712121,0.8409091,0.8333333,0.8181818,0.8030303,0.780303,0.6969697,0.6818182,0.6439394,0.6287879,0.6212121,0.6060606,0.5909091,0.5833333,0.5606061,0.5227273,0.4545455,0.4469697,0.3787879,0.3636364,0.3484848,0.3333333,0.3181818,0.280303,0.1439394,0.1287879,0.09848485,0.08333333,0.007575758,0
19,0.25,0,1,0.9924242,0.9848485,0.969697,0.9545455,0.9469697,0.9318182,0.9015152,0.8863636,0.8712121,0.8560606,0.8181818,0.8030303,0.7954545,0.780303,0.7651515,0.7424242,0.7348485,0.719697,0.6666667,0.6060606,0.4924242,0.4242424,0.4090909,0.3712121,0.3560606,0.2727273,0.2575758,0.2424242,0.2348485,0.219697,0.1893939,0.1515152,0.1439394,0.1212121,0.1060606,0.09848485,0.08333333,0.06060606,0
20,0.25,0,1,0.9772727,0.9545455,0.9469697,0.9318182,0.9015152,0.8863636,0.8712121,0.8560606,0.8181818,0.7954545,0.7727273,0.7651515,0.719697,0.7045455,0.6893939,0.6666667,0.6590909,0.6439394,0.6287879,0.6060606,0.5909091,0.5833333,0.5227273,0.4924242,0.4772727,0.469697,0.3409091,0.2727273,0.25,0.2348485,0.2272727,0.2045455,0.1893939,0.09848485,0.06818182,0.04545455,0.03030303,0.02272727,0
21,0.25,0,1,0.969697,0.9469697,0.9393939,0.9242424,0.8787879,0.8636364,0.8484848,0.8409091,0.8257576,0.8106061,0.8030303,0.7575758,0.6818182,0.6590909,0.6439394,0.6287879,0.6136364,0.6060606,0.5909091,0.5530303,0.5227273,0.5075758,0.5,0.4772727,0.3409091,0.3181818,0.280303,0.2651515,0.25,0.1969697,0.1893939,0.1136364,0.09848485,0.09090909,0.07575758,0.06060606,0.0530303,0.03787879,0.007575758
22,0.25,0,1,0.9469697,0.9090909,0.9015152,0.8712121,0.8560606,0.8333333,0.780303,0.7651515,0.75,0.7348485,0.7121212,0.6893939,0.5757576,0.5606061,0.5378788,0.5227273,0.5075758,0.469697,0.4621212,0.4469697,0.4318182,0.3712121,0.3636364,0.3484848,0.3409091,0.2954545,0.2878788,0.280303,0.2651515,0.25,0.219697,0.1969697,0.1666667,0.1439394,0.1287879,0.1212121,0.03030303,0.01515152,0
23,0.25,0,1,0.9848485,0.9318182,0.9166667,0.8939394,0.8787879,0.8712121,0.8560606,0.8409091,0.75,0.7424242,0.7272727,0.6742424,0.6363636,0.6136364,0.5984848,0.5833333,0.5530303,0.5378788,0.530303,0.4621212,0.4469697,0.4318182,0.3484848,0.3333333,0.2954545,0.2878788,0.280303,0.2575758,0.25,0.1818182,0.1666667,0.1515152,0.1363636,0.1136364,0.09848485,0.06060606,0.02272727,0.007575758,0
24,0.25,0,1,0.9545455,0.9469697,0.9393939,0.9090909,0.8939394,0.8712121,0.8484848,0.8181818,0.7954545,0.7651515,0.7575758,0.6590909,0.6515152,0.5909091,0.5227273,0.5075758,0.4772727,0.4621212,0.4469697,0.3409091,0.3181818,0.3030303,0.2954545,0.2727273,0.25,0.2348485,0.2272727,0.2121212,0.1969697,0.1818182,0.1742424,0.1666667,0.1515152,0.1363636,0.07575758,0.06060606,0.04545455,0.007575758,0
25,0.25,0,1,0.9848485,0.9621212,0.9469697,0.9166667,0.9015152,0.8939394,0.8863636,0.8712121,0.8560606,0.8484848,0.8257576,0.780303,0.7651515,0.7575758,0.7424242,0.7272727,0.6969697,0.6439394,0.5833333,0.5606061,0.5530303,0.5378788,0.5227273,0.5075758,0.5,0.3484848,0.3106061,0.2954545,0.280303,0.2727273,0.2575758,0.2348485,0.219697,0.1818182,0.1666667,0.1515152,0.06060606,0.01515152,0
26,0.25,0,1,0.9848485,0.9621212,0.9545455,0.9469697,0.9318182,0.9166667,0.9015152,0.8712121,0.7727273,0.7424242,0.7272727,0.7121212,0.6818182,0.6666667,0.6287879,0.6136364,0.5606061,0.5530303,0.5378788,0.5,0.4393939,0.4242424,0.4166667,0.4090909,0.3939394,0.3787879,0.3333333,0.3181818,0.2954545,0.2727273,0.2575758,0.2424242,0.2348485,0.219697,0.2045455,0.1818182,0.1515152,0.07575758,0
27,0.25,0,1,0.9848485,0.9545455,0.9469697,0.9318182,0.9090909,0.8939394,0.8787879,0.8560606,0.8484848,0.7954545,0.780303,0.7727273,0.6969697,0.6818182,0.6666667,0.6439394,0.6060606,0.5757576,0.5606061,0.5454545,0.530303,0.5151515,0.4545455,0.4469697,0.4318182,0.4242424,0.4090909,0.3787879,0.3636364,0.3484848,0.3106061,0.2954545,0.2651515,0.1969697,0.1742424,0.1590909,0.02272727,0.007575758,0
28,0.25,0,1,0.9090909,0.8939394,0.8863636,0.8787879,0.8712121,0.8560606,0.8181818,0.7878788,0.7651515,0.7575758,0.7424242,0.7348485,0.7272727,0.719697,0.6742424,0.6590909,0.5833333,0.5681818,0.5454545,0.530303,0.4924242,0.4772727,0.469697,0.4393939,0.4090909,0.3484848,0.2651515,0.25,0.219697,0.1969697,0.1212121,0.1060606,0.09090909,0.07575758,0.06060606,0.0530303,0.04545455,0.03787879,0.007575758
29,0.25,0,1,0.9772727,0.9545455,0.9318182,0.9166667,0.9015152,0.8939394,0.8636364,0.8484848,0.8333333,0.780303,0.7575758,0.7424242,0.7272727,0.6818182,0.6666667,0.6439394,0.5833333,0.5681818,0.5530303,0.5454545,0.5378788,0.5227273,0.5075758,0.469697,0.4621212,0.4469697,0.4242424,0.4090909,0.3939394,0.3863636,0.25,0.2424242,0.2272727,0.2121212,0.1439394,0.0530303,0.02272727,0.007575758,0
30,0.25,0,1,0.9924242,0.9015152,0.8560606,0.8333333,0.8181818,0.8030303,0.780303,0.75,0.7272727,0.7121212,0.6969697,0.6818182,0.6590909,0.6363636,0.6212121,0.6136364,0.5606061,0.5530303,0.5378788,0.530303,0.4545455,0.4318182,0.3636364,0.3333333,0.3181818,0.3106061,0.2954545,0.2121212,0.1742424,0.1590909,0.1212121,0.1060606,0.07575758,0.06060606,0.04545455,0.03030303,0.02272727,0.007575758,0
31,0.25,0,1,0.969697,0.9621212,0.9469697,0.9242424,0.8333333,0.8181818,0.7651515,0.7575758,0.7424242,0.6818182,0.6742424,0.6666667,0.6363636,0.6212121,0.6060606,0.5984848,0.5909091,0.5606061,0.5530303,0.5454545,0.5151515,0.4393939,0.3863636,0.3712121,0.3409091,0.2575758,0.2424242,0.219697,0.2045455,0.1893939,0.1590909,0.1287879,0.1136364,0.09848485,0.08333333,0.04545455,0.02272727,0.01515152,0
32,0.25,0,1,0.9772727,0.969697,0.9545455,0.9393939,0.9166667,0.9090909,0.9015152,0.8863636,0.7954545,0.7878788,0.7272727,0.719697,0.7121212,0.7045455,0.6893939,0.6742424,0.6590909,0.6515152,0.6363636,0.6060606,0.5833333,0.5757576,0.4924242,0.4318182,0.4166667,0.4015152,0.3636364,0.3106061,0.2954545,0.2727273,0.1969697,0.1893939,0.1742424,0.1590909,0.1212121,0.09848485,0.06818182,0.03787879,0.01515152
33,0.25,0,1,0.9848485,0.969697,0.9621212,0.9469697,0.9166667,0.8636364,0.8484848,0.8333333,0.8181818,0.8030303,0.780303,0.7348485,0.719697,0.7045455,0.6893939,0.6818182,0.6666667,0.6060606,0.5984848,0.5909091,0.5606061,0.5151515,0.5,0.4848485,0.4545455,0.3560606,0.219697,0.2045455,0.1969697,0.1818182,0.1439394,0.1060606,0.08333333,0.07575758,0.06060606,0.0530303,0.03787879,0.007575758,0
34,0.25,0,1,0.9545455,0.9469697,0.9318182,0.9015152,0.8863636,0.8560606,0.8333333,0.8181818,0.8030303,0.7878788,0.75,0.7348485,0.719697,0.7045455,0.6969697,0.6893939,0.6742424,0.6590909,0.6363636,0.6212121,0.530303,0.5151515,0.5,0.4545455,0.4318182,0.3484848,0.3409091,0.3333333,0.3181818,0.280303,0.25,0.2348485,0.1666667,0.1363636,0.1212121,0.1136364,0.09848485,0.01515152,0
35,0.25,0,1,0.9924242,0.9772727,0.9621212,0.9469697,0.9318182,0.8863636,0.8712121,0.8409091,0.8257576,0.8181818,0.7651515,0.7575758,0.6590909,0.6515152,0.6363636,0.6060606,0.5909091,0.5454545,0.530303,0.5151515,0.4772727,0.4393939,0.4318182,0.3636364,0.3484848,0.3333333,0.3106061,0.2424242,0.2272727,0.2121212,0.1969697,0.1590909,0.1515152,0.1287879,0.1136364,0.09848485,0.06060606,0.01515152,0
36,0.25,0,1,0.9848485,0.9545455,0.9393939,0.9318182,0.9166667,0.8863636,0.8636364,0.8484848,0.8106061,0.7651515,0.7575758,0.6969697,0.6893939,0.6818182,0.6742424,0.6666667,0.6363636,0.6060606,0.5909091,0.5757576,0.5151515,0.5,0.4621212,0.4469697,0.4318182,0.4166667,0.3636364,0.3484848,0.2272727,0.219697,0.2045455,0.1969697,0.1818182,0.1666667,0.1363636,0.1136364,0.09848485,0.08333333,0
37,0.25,0,1,0.9848485,0.9621212,0.9545455,0.9469697,0.9393939,0.9318182,0.8787879,0.8181818,0.8030303,0.7954545,0.75,0.719697,0.7045455,0.6136364,0.5984848,0.5909091,0.5757576,0.5606061,0.4469697,0.4393939,0.4242424,0.4166667,0.3863636,0.3636364,0.3484848,0.3409091,0.3181818,0.3030303,0.2651515,0.1893939,0.1742424,0.1515152,0.1287879,0.1060606,0.07575758,0.06060606,0.04545455,0.03030303,0
38,0.25,0,1,0.9924242,0.9848485,0.9772727,0.9318182,0.9166667,0.9015152,0.8863636,0.8712121,0.8560606,0.8409091,0.8030303,0.7651515,0.7575758,0.7424242,0.7045455,0.6893939,0.6742424,0.6590909,0.6363636,0.6212121,0.6060606,0.5909091,0.5606061,0.4848485,0.4166667,0.3939394,0.3787879,0.3560606,0.3484848,0.3106061,0.2424242,0.2272727,0.2121212,0.1969697,0.0530303,0.02272727,0.01515152,0.007575758,0
39,0.25,0,1,0.9848485,0.9393939,0.9242424,0.8863636,0.8560606,0.8484848,0.8409091,0.8257576,0.7348485,0.7272727,0.7121212,0.6969697,0.6818182,0.6666667,0.6060606,0.5909091,0.5606061,0.5378788,0.530303,0.4848485,0.4393939,0.4242424,0.4090909,0.3939394,0.3863636,0.3712121,0.3636364,0.3030303,0.2878788,0.25,0.1742424,0.1136364,0.09848485,0.08333333,0.07575758,0.0530303,0.02272727,0.01515152,0
40,0.25,0,1,0.9924242,0.969697,0.9545455,0.9393939,0.9166667,0.8939394,0.8863636,0.8787879,0.780303,0.7651515,0.75,0.7348485,0.719697,0.7045455,0.6893939,0.6590909,0.6515152,0.5984848,0.5833333,0.5681818,0.530303,0.5151515,0.5,0.4545455,0.4393939,0.4242424,0.3560606,0.3409091,0.3257576,0.25,0.2348485,0.219697,0.1060606,0.09090909,0.07575758,0.03787879,0.02272727,0.007575758,0
41,0.25,0,1,0.9848485,0.969697,0.9545455,0.9318182,0.9242424,0.9090909,0.8939394,0.8484848,0.8181818,0.7727273,0.75,0.7348485,0.719697,0.7045455,0.6742424,0.6666667,0.6060606,0.5984848,0.5909091,0.5757576,0.5681818,0.5530303,0.530303,0.5075758,0.4924242,0.4318182,0.3939394,0.3787879,0.3560606,0.3409091,0.3257576,0.3030303,0.2954545,0.280303,0.2121212,0.1969697,0.1742424,0.1439394,0
42,0.25,0,1,0.9545455,0.9393939,0.9318182,0.9166667,0.9090909,0.9015152,0.8863636,0.8636364,0.8484848,0.8333333,0.8257576,0.8181818,0.8030303,0.7727273,0.75,0.7348485,0.7045455,0.6742424,0.6590909,0.6363636,0.5984848,0.4848485,0.4772727,0.469697,0.4545455,0.4393939,0.3636364,0.3409091,0.2727273,0.2575758,0.2424242,0.2272727,0.2121212,0.1969697,0.1439394,0.1287879,0.09090909,0.01515152,0
43,0.25,0,1,0.9848485,0.9772727,0.9545455,0.9393939,0.9242424,0.9090909,0.8787879,0.8636364,0.8333333,0.780303,0.6893939,0.6742424,0.6666667,0.6515152,0.6212121,0.5681818,0.5,0.4924242,0.469697,0.4242424,0.3939394,0.3712121,0.3560606,0.3409091,0.2575758,0.25,0.2348485,0.1969697,0.1818182,0.1742424,0.1590909,0.1515152,0.08333333,0.06060606,0.04545455,0.03787879,0.03030303,0.007575758,0
44,0.25,0,1,0.9848485,0.8939394,0.8787879,0.8409091,0.8106061,0.8030303,0.7651515,0.7575758,0.75,0.7424242,0.719697,0.6893939,0.6742424,0.6666667,0.6515152,0.6363636,0.6212121,0.6060606,0.5530303,0.5454545,0.5151515,0.5,0.4924242,0.4848485,0.469697,0.4545455,0.4166667,0.4015152,0.3257576,0.3106061,0.280303,0.1969697,0.1893939,0.1818182,0.1287879,0.1060606,0.09090909,0.07575758,0
45,0.25,0,1,0.9924242,0.9772727,0.9545455,0.9393939,0.9318182,0.9242424,0.9090909,0.8939394,0.8712121,0.8560606,0.8484848,0.7424242,0.7348485,0.7272727,0.7045455,0.6515152,0.6439394,0.6287879,0.6212121,0.5378788,0.5075758,0.4848485,0.469697,0.4318182,0.4090909,0.4015152,0.3863636,0.3560606,0.3409091,0.3333333,0.3030303,0.25,0.2121212,0.1969697,0.1893939,0.1742424,0.1590909,0.09090909,0
46,0.25,0,1,0.9848485,0.9772727,0.969697,0.8787879,0.8712121,0.8257576,0.8106061,0.7954545,0.7651515,0.7424242,0.7045455,0.6969697,0.6818182,0.6666667,0.6590909,0.6439394,0.6060606,0.5606061,0.530303,0.5,0.469697,0.4545455,0.4393939,0.4242424,0.4166667,0.3484848,0.3333333,0.3181818,0.3030303,0.2348485,0.1818182,0.1515152,0.1363636,0.1212121,0.09848485,0.08333333,0.06818182,0.03787879,0
47,0.25,0,1,0.9621212,0.9545455,0.9469697,0.9318182,0.9166667,0.9090909,0.8939394,0.8636364,0.8409091,0.8257576,0.8181818,0.8030303,0.7954545,0.780303,0.6893939,0.6742424,0.6590909,0.6439394,0.6212121,0.6136364,0.6060606,0.5909091,0.5757576,0.5151515,0.5,0.4318182,0.4166667,0.4015152,0.3712121,0.3409091,0.280303,0.2651515,0.25,0.1742424,0.1439394,0.1136364,0.06818182,0.007575758,0
48,0.25,0,1,0.9848485,0.9772727,0.9469697,0.9318182,0.9015152,0.8787879,0.8712121,0.8560606,0.8106061,0.7878788,0.780303,0.7727273,0.7575758,0.6287879,0.6060606,0.5909091,0.5757576,0.5378788,0.5227273,0.5151515,0.5,0.4924242,0.4772727,0.4545455,0.3939394,0.3787879,0.2954545,0.2121212,0.1969697,0.1893939,0.1742424,0.1590909,0.1287879,0.09848485,0.09090909,0.07575758,0.06060606,0.01515152,0
49,0.25,0,1,0.9848485,0.969697,0.9545455,0.9318182,0.9166667,0.8863636,0.8712121,0.8636364,0.8560606,0.8409091,0.8030303,0.7424242,0.719697,0.7121212,0.5909091,0.5757576,0.5530303,0.5454545,0.530303,0.5,0.4848485,0.4772727,0.4621212,0.4469697,0.3787879,0.3106061,0.2954545,0.2878788,0.2727273,0.2121212,0.1893939,0.1590909,0.1439394,0.1287879,0.08333333,0.0530303,0.03787879,0.01515152,0
50,0.25,0,1,0.9848485,0.969697,0.9621212,0.9545455,0.9015152,0.8939394,0.8787879,0.8484848,0.8257576,0.8106061,0.7954545,0.7575758,0.7424242,0.7272727,0.7121212,0.6893939,0.6742424,0.6439394,0.6212121,0.6060606,0.5984848,0.5909091,0.5681818,0.5530303,0.5454545,0.469697,0.4242424,0.4015152,0.3333333,0.3181818,0.1742424,0.1590909,0.1439394,0.1363636,0.1060606,0.09090909,0.02272727,0.01515152,0
51,0.25,0,1,0.9848485,0.9318182,0.9090909,0.8787879,0.8712121,0.8409091,0.8257576,0.7727273,0.75,0.7272727,0.719697,0.7045455,0.6666667,0.6590909,0.6439394,0.6060606,0.5909091,0.5757576,0.5075758,0.4242424,0.4015152,0.3863636,0.3636364,0.3484848,0.3181818,0.2954545,0.2878788,0.280303,0.25,0.2348485,0.219697,0.2121212,0.2045455,0.1893939,0.1742424,0.1666667,0.1515152,0.007575758,0
52,0.25,0,1,0.9848485,0.9469697,0.9318182,0.9242424,0.9090909,0.9015152,0.8712121,0.8484848,0.8333333,0.780303,0.7651515,0.7424242,0.7272727,0.7121212,0.7045455,0.6969697,0.6818182,0.6590909,0.6515152,0.6439394,0.5681818,0.5530303,0.5378788,0.530303,0.5151515,0.469697,0.3484848,0.3257576,0.2954545,0.280303,0.1969697,0.1742424,0.1590909,0.08333333,0.07575758,0.06060606,0.04545455,0.03030303,0
53,0.25,0,1,0.9772727,0.9545455,0.9393939,0.9242424,0.9166667,0.8257576,0.7954545,0.7727273,0.7651515,0.7121212,0.6969697,0.6818182,0.6666667,0.6212121,0.5909091,0.5227273,0.5,0.4848485,0.4772727,0.4318182,0.4166667,0.4015152,0.3863636,0.3560606,0.2727273,0.2575758,0.1818182,0.1666667,0.1590909,0.1439394,0.1363636,0.1212121,0.08333333,0.06060606,0.04545455,0.03787879,0.02272727,0.007575758,0
54,0.25,0,1,0.9848485,0.8939394,0.8787879,0.8484848,0.8409091,0.8106061,0.7954545,0.7272727,0.7121212,0.6893939,0.6287879,0.6136364,0.530303,0.5151515,0.4924242,0.4772727,0.4545455,0.4242424,0.4090909,0.3939394,0.3863636,0.3787879,0.3712121,0.3636364,0.3484848,0.2878788,0.2575758,0.2424242,0.219697,0.1363636,0.1212121,0.1136364,0.1060606,0.09090909,0.08333333,0.0530303,0.03787879,0.03030303,0
55,0.25,0,1,0.969697,0.9469697,0.9393939,0.8863636,0.8712121,0.8409091,0.7424242,0.7348485,0.719697,0.6515152,0.6363636,0.6212121,0.5984848,0.5909091,0.5530303,0.530303,0.5151515,0.4393939,0.4242424,0.4090909,0.3939394,0.3787879,0.3636364,0.280303,0.2727273,0.2575758,0.2272727,0.219697,0.2045455,0.1893939,0.1742424,0.1590909,0.1439394,0.1287879,0.09090909,0.07575758,0.04545455,0.01515152,0
56,0.25,0,1,0.9924242,0.9848485,0.9772727,0.9621212,0.9469697,0.9393939,0.9318182,0.9166667,0.9015152,0.8333333,0.8257576,0.8106061,0.7575758,0.7424242,0.7348485,0.7045455,0.6742424,0.6590909,0.6439394,0.6136364,0.5984848,0.5606061,0.5454545,0.5151515,0.4772727,0.4621212,0.4469697,0.4393939,0.3787879,0.3636364,0.3484848,0.3333333,0.3257576,0.3181818,0.2954545,0.2727273,0.2424242,0.1439394,0
57,0.25,0,1,0.9924242,0.9469697,0.9318182,0.8939394,0.8333333,0.8257576,0.8106061,0.780303,0.7727273,0.7575758,0.7424242,0.7272727,0.7121212,0.7045455,0.6590909,0.6363636,0.6287879,0.6136364,0.5757576,0.5606061,0.5454545,0.5151515,0.5,0.4848485,0.4090909,0.3939394,0.3712121,0.3484848,0.3333333,0.3257576,0.3181818,0.2878788,0.25,0.2424242,0.09090909,0.07575758,0.06060606,0.01515152,0
