SimNo,ExtThrs,FlexThrs,Prop0,Prop1,Prop2,Prop3,Prop4,Prop5,Prop6,Prop7,Prop8,Prop9,Prop10,Prop11
19,0.25,0,1,0.8965517,0.8448276,0.7586207,0.7241379,0.5862069,0.5344828,0.4655172,0.2586207,0.1724138,0.05172414,0.01724138
20,0.25,0,1,0.8965517,0.8103448,0.5344828,0.4827586,0.362069,0.3275862,0.1896552,0.1724138,0.137931,0.0862069,0.03448276
21,0.25,0,1,0.8275862,0.7931034,0.637931,0.5,0.4137931,0.2931034,0.1724138,0.1206897,0.06896552,0.03448276,0
22,0.25,0,1,0.9137931,0.7931034,0.5689655,0.3965517,0.362069,0.3275862,0.2931034,0.1551724,0.1034483,0.05172414,0.01724138
23,0.25,0,1,0.9655172,0.9137931,0.8103448,0.7758621,0.7241379,0.5689655,0.4310345,0.2586207,0.2241379,0.01724138,0
24,0.25,0,1,0.862069,0.8275862,0.7068966,0.5,0.4827586,0.4310345,0.3275862,0.2413793,0.1034483,0.03448276,0
25,0.25,0,1,0.9655172,0.9137931,0.8793103,0.7413793,0.637931,0.6206897,0.5344828,0.4137931,0.3275862,0.03448276,0
26,0.25,0,1,0.8275862,0.7758621,0.6724138,0.6551724,0.5172414,0.4310345,0.3103448,0.1551724,0.1034483,0.03448276,0
27,0.25,0,1,0.9827586,0.8793103,0.8448276,0.7413793,0.637931,0.6034483,0.3965517,0.362069,0.3103448,0.1724138,0
28,0.25,0,1,0.8275862,0.7931034,0.7413793,0.5862069,0.4482759,0.3793103,0.3448276,0.3103448,0.2758621,0.137931,0
29,0.25,0,1,0.9655172,0.9310345,0.7931034,0.7413793,0.6724138,0.637931,0.5517241,0.4310345,0.3103448,0.137931,0
30,0.25,0,1,0.9827586,0.9482759,0.8448276,0.7241379,0.6034483,0.5689655,0.5344828,0.4310345,0.2931034,0.2413793,0
31,0.25,0,1,0.9482759,0.8275862,0.7241379,0.7068966,0.6724138,0.6206897,0.4827586,0.3793103,0.3448276,0.137931,0.0862069
32,0.25,0,1,0.8965517,0.8793103,0.8448276,0.7068966,0.6724138,0.637931,0.6034483,0.5,0.3793103,0.2413793,0
33,0.25,0,1,0.9655172,0.862069,0.8103448,0.7413793,0.6896552,0.4827586,0.3448276,0.2586207,0.1724138,0.137931,0.0862069
34,0.25,0,1,0.9137931,0.8103448,0.7758621,0.7241379,0.6034483,0.5862069,0.4827586,0.3448276,0.2931034,0.2241379,0
35,0.25,0,1,0.9655172,0.862069,0.8275862,0.7931034,0.7586207,0.6551724,0.4482759,0.4310345,0.3793103,0.2931034,0
36,0.25,0,1,0.862069,0.8448276,0.8103448,0.7068966,0.5,0.4482759,0.3448276,0.2931034,0.2241379,0.1896552,0.0862069
37,0.25,0,1,0.9827586,0.9482759,0.7758621,0.637931,0.5862069,0.4310345,0.3103448,0.2586207,0.2068966,0.03448276,0
38,0.25,0,1,0.9655172,0.9137931,0.7413793,0.7068966,0.4827586,0.3965517,0.2758621,0.2241379,0.1551724,0.01724138,0
39,0.25,0,1,0.9482759,0.8103448,0.6034483,0.5689655,0.4137931,0.3793103,0.3448276,0.2931034,0.137931,0.01724138,0
40,0.25,0,1,0.9655172,0.9137931,0.8793103,0.7413793,0.6896552,0.5862069,0.5344828,0.4827586,0.3103448,0.1724138,0.0862069
41,0.25,0,1,0.9137931,0.8103448,0.7586207,0.6896552,0.6551724,0.6206897,0.5862069,0.4137931,0.2758621,0.2241379,0
42,0.25,0,1,0.8275862,0.7931034,0.7586207,0.7068966,0.5,0.4482759,0.2758621,0.2586207,0.2241379,0.137931,0.01724138
43,0.25,0,1,0.9655172,0.9137931,0.8275862,0.7241379,0.7068966,0.5344828,0.3965517,0.2586207,0.2241379,0.137931,0.01724138
44,0.25,0,1,0.9482759,0.8793103,0.7413793,0.7068966,0.5172414,0.4655172,0.3793103,0.2931034,0.06896552,0.03448276,0
45,0.25,0,1,0.9827586,0.9482759,0.862069,0.6206897,0.5862069,0.5344828,0.3965517,0.2241379,0.0862069,0.05172414,0.01724138
46,0.25,0,1,0.9827586,0.9482759,0.862069,0.7413793,0.6724138,0.5344828,0.362069,0.3103448,0.0862069,0.05172414,0
47,0.25,0,1,0.9137931,0.7931034,0.6724138,0.5689655,0.5172414,0.4482759,0.4137931,0.3793103,0.2413793,0.2068966,0
48,0.25,0,1,0.9137931,0.7931034,0.6034483,0.5862069,0.3793103,0.3448276,0.1896552,0.137931,0.06896552,0.03448276,0
49,0.25,0,1,0.9482759,0.8275862,0.7758621,0.7413793,0.7068966,0.5689655,0.5344828,0.4827586,0.3965517,0.2068966,0
50,0.25,0,1,0.8275862,0.6896552,0.637931,0.5689655,0.5172414,0.3103448,0.2758621,0.2241379,0.137931,0.01724138,0
51,0.25,0,1,0.9655172,0.862069,0.7413793,0.5689655,0.5344828,0.362069,0.3448276,0.3103448,0.1724138,0.1206897,0
52,0.25,0,1,0.9655172,0.862069,0.8448276,0.7586207,0.6551724,0.6206897,0.4137931,0.3793103,0.3103448,0.2241379,0
53,0.25,0,1,0.862069,0.7586207,0.7413793,0.7068966,0.637931,0.5517241,0.4482759,0.2413793,0.2068966,0.1206897,0
54,0.25,0,1,0.862069,0.7758621,0.6724138,0.637931,0.6034483,0.5344828,0.4482759,0.3275862,0.2241379,0.2068966,0
55,0.25,0,1,0.9482759,0.8275862,0.7068966,0.4827586,0.4482759,0.4137931,0.3793103,0.3448276,0.2413793,0.2068966,0
56,0.25,0,1,0.9655172,0.7931034,0.6551724,0.6206897,0.5689655,0.4310345,0.3448276,0.2413793,0.1896552,0.137931,0.0862069
57,0.25,0,1,0.862069,0.6896552,0.637931,0.5344828,0.4827586,0.4310345,0.3448276,0.1206897,0.0862069,0.03448276,0
58,0.25,0,1,0.9655172,0.7758621,0.7241379,0.637931,0.5862069,0.5172414,0.4827586,0.4482759,0.3103448,0.1724138,0.0862069
59,0.25,0,1,0.9655172,0.8275862,0.7241379,0.6896552,0.6724138,0.6206897,0.5344828,0.4310345,0.3275862,0.2068966,0
60,0.25,0,1,0.9655172,0.9310345,0.8793103,0.7068966,0.6724138,0.6206897,0.5,0.3275862,0.1896552,0.1034483,0
61,0.25,0,1,0.9482759,0.7758621,0.7413793,0.7068966,0.6034483,0.5517241,0.3965517,0.1034483,0.06896552,0.03448276,0
62,0.25,0,1,0.8275862,0.7758621,0.6896552,0.6034483,0.4655172,0.4310345,0.3448276,0.1206897,0.0862069,0.05172414,0
63,0.25,0,1,0.9482759,0.8448276,0.7068966,0.6206897,0.5172414,0.4827586,0.2931034,0.2413793,0.1724138,0.137931,0
64,0.25,0,1,0.9655172,0.8275862,0.7758621,0.5689655,0.5517241,0.5172414,0.4655172,0.3793103,0.2758621,0.137931,0.0862069
65,0.25,0,1,0.862069,0.8275862,0.7931034,0.7413793,0.6206897,0.5517241,0.5,0.4827586,0.3965517,0.2068966,0
66,0.25,0,1,0.9827586,0.9482759,0.8448276,0.7068966,0.5,0.4137931,0.3103448,0.2758621,0.2241379,0.1551724,0.0862069
67,0.25,0,1,0.9655172,0.9310345,0.9137931,0.8275862,0.6551724,0.4482759,0.4137931,0.362069,0.1896552,0.137931,0.01724138
68,0.25,0,1,0.8965517,0.8793103,0.8448276,0.7586207,0.4827586,0.4310345,0.362069,0.3275862,0.1896552,0.137931,0.01724138
69,0.25,0,1,0.9655172,0.9310345,0.9137931,0.862069,0.7931034,0.6896552,0.5862069,0.4137931,0.362069,0.137931,0
70,0.25,0,1,0.9655172,0.9310345,0.8275862,0.7413793,0.4655172,0.4482759,0.3103448,0.2758621,0.2068966,0.06896552,0
71,0.25,0,1,0.9655172,0.7931034,0.6551724,0.6034483,0.5172414,0.4827586,0.3448276,0.2586207,0.137931,0.1034483,0.03448276
72,0.25,0,1,0.9655172,0.9137931,0.8103448,0.7586207,0.6896552,0.5517241,0.5172414,0.4310345,0.1551724,0.1034483,0
73,0.25,0,1,0.9655172,0.9310345,0.8275862,0.7758621,0.6551724,0.5517241,0.4137931,0.362069,0.2413793,0.2068966,0
74,0.25,0,1,0.9655172,0.7758621,0.7413793,0.6896552,0.5344828,0.3965517,0.3275862,0.2931034,0.1551724,0.137931,0
75,0.25,0,1,0.9827586,0.9482759,0.8965517,0.862069,0.7241379,0.6896552,0.5172414,0.3793103,0.3275862,0.2068966,0.0862069
76,0.25,0,1,0.9482759,0.8448276,0.8103448,0.637931,0.6206897,0.5862069,0.4310345,0.2931034,0.2586207,0.1724138,0.03448276
77,0.25,0,1,0.9482759,0.7413793,0.7068966,0.6724138,0.5344828,0.3965517,0.362069,0.3103448,0.1551724,0.05172414,0.01724138
78,0.25,0,1,0.862069,0.6896552,0.637931,0.5172414,0.4482759,0.4137931,0.2758621,0.2413793,0.2068966,0.1206897,0
79,0.25,0,1,0.862069,0.6896552,0.637931,0.5517241,0.4655172,0.3448276,0.3103448,0.2758621,0.137931,0.0862069,0.01724138
80,0.25,0,1,0.9655172,0.862069,0.8103448,0.6896552,0.5862069,0.4310345,0.4137931,0.2068966,0.1551724,0.03448276,0
81,0.25,0,1,0.9137931,0.8103448,0.637931,0.5,0.4655172,0.4137931,0.3448276,0.2758621,0.1724138,0.03448276,0
82,0.25,0,1,0.9137931,0.7068966,0.6896552,0.637931,0.5,0.4655172,0.4310345,0.3793103,0.3275862,0.2068966,0
83,0.25,0,1,0.9655172,0.8275862,0.7758621,0.7241379,0.6896552,0.5862069,0.5,0.2241379,0.1896552,0.137931,0.0862069
84,0.25,0,1,0.9827586,0.8448276,0.7931034,0.6896552,0.5862069,0.5517241,0.5,0.3793103,0.0862069,0.05172414,0
85,0.25,0,1,0.9655172,0.7931034,0.7758621,0.7241379,0.6034483,0.4310345,0.3448276,0.2241379,0.1896552,0.1551724,0
86,0.25,0,1,0.9655172,0.8793103,0.7586207,0.6896552,0.6551724,0.6206897,0.4482759,0.3103448,0.2758621,0.137931,0.0862069
87,0.25,0,1,0.9655172,0.9310345,0.8965517,0.862069,0.6896552,0.5517241,0.5,0.2931034,0.2413793,0.1206897,0
88,0.25,0,1,0.9827586,0.8793103,0.7413793,0.5344828,0.5,0.4482759,0.3448276,0.2931034,0.1724138,0.05172414,0.01724138
89,0.25,0,1,0.9137931,0.7931034,0.5344828,0.5,0.4482759,0.3965517,0.2241379,0.1896552,0.05172414,0.01724138,0
90,0.25,0,1,0.8965517,0.862069,0.7068966,0.6896552,0.6551724,0.5689655,0.4482759,0.2068966,0.1724138,0.137931,0.0862069
91,0.25,0,1,0.9482759,0.8793103,0.8275862,0.6206897,0.5172414,0.5,0.2931034,0.2068966,0.0862069,0.05172414,0.01724138
92,0.25,0,1,0.9655172,0.8275862,0.7931034,0.7068966,0.6206897,0.5862069,0.5517241,0.362069,0.3103448,0.137931,0.0862069
93,0.25,0,1,0.9655172,0.9482759,0.8103448,0.7758621,0.7068966,0.4655172,0.4310345,0.3793103,0.2068966,0.1724138,0.0862069
94,0.25,0,1,0.9655172,0.9482759,0.8965517,0.7931034,0.7586207,0.5862069,0.5,0.3793103,0.2241379,0.1724138,0
95,0.25,0,1,0.9655172,0.8793103,0.7758621,0.7586207,0.7068966,0.5689655,0.5,0.362069,0.1896552,0.05172414,0.01724138
96,0.25,0,1,0.8275862,0.6896552,0.6551724,0.6206897,0.5862069,0.5517241,0.4655172,0.2586207,0.2068966,0.1206897,0
97,0.25,0,1,0.9655172,0.7758621,0.7413793,0.6551724,0.5517241,0.4137931,0.2758621,0.2586207,0.2068966,0.0862069,0.03448276
98,0.25,0,1,0.9655172,0.7931034,0.7413793,0.637931,0.5862069,0.5344828,0.362069,0.3448276,0.3103448,0.2241379,0
99,0.25,0,1,0.9655172,0.7931034,0.7586207,0.7241379,0.5862069,0.5517241,0.4137931,0.362069,0.2586207,0.2068966,0.0862069
100,0.25,0,1,0.9482759,0.8448276,0.8103448,0.7586207,0.7413793,0.5689655,0.4310345,0.3965517,0.2586207,0.2068966,0.0862069
101,0.25,0,1,0.9827586,0.8965517,0.7931034,0.7413793,0.6206897,0.4482759,0.4137931,0.2758621,0.2241379,0.05172414,0.01724138
102,0.25,0,1,0.8275862,0.7931034,0.7758621,0.7413793,0.6034483,0.5517241,0.4310345,0.3103448,0.1896552,0.137931,0
103,0.25,0,1,0.9655172,0.9137931,0.8103448,0.6551724,0.6206897,0.5862069,0.5689655,0.4827586,0.2241379,0.1724138,0
104,0.25,0,1,0.862069,0.8275862,0.637931,0.6206897,0.5862069,0.5344828,0.4655172,0.4310345,0.3448276,0.137931,0.0862069
105,0.25,0,1,0.9827586,0.9310345,0.8275862,0.7068966,0.6206897,0.5,0.362069,0.1551724,0.1206897,0.0862069,0.03448276
106,0.25,0,1,0.862069,0.8103448,0.7413793,0.7241379,0.6206897,0.5862069,0.5,0.3965517,0.1896552,0.1551724,0.0862069
107,0.25,0,1,0.9655172,0.862069,0.7241379,0.6724138,0.5172414,0.3965517,0.1724138,0.1551724,0.1206897,0.06896552,0
108,0.25,0,1,0.9655172,0.9310345,0.8275862,0.7931034,0.7241379,0.637931,0.5517241,0.4137931,0.1724138,0.03448276,0
109,0.25,0,1,0.8965517,0.8448276,0.7931034,0.7586207,0.7068966,0.6034483,0.4482759,0.362069,0.06896552,0.03448276,0
110,0.25,0,1,0.8965517,0.862069,0.7241379,0.6724138,0.5517241,0.2758621,0.2241379,0.1034483,0.0862069,0.05172414,0
111,0.25,0,1,0.862069,0.8275862,0.7931034,0.7068966,0.5862069,0.5172414,0.4655172,0.362069,0.1551724,0.1034483,0
112,0.25,0,1,0.9827586,0.9310345,0.862069,0.7931034,0.6896552,0.6034483,0.3793103,0.3448276,0.3103448,0.2068966,0
113,0.25,0,1,0.9827586,0.8103448,0.7586207,0.5517241,0.5172414,0.4827586,0.4482759,0.4137931,0.3448276,0.1724138,0.0862069
114,0.25,0,1,0.9655172,0.9137931,0.8793103,0.8275862,0.5862069,0.5344828,0.362069,0.2241379,0.137931,0.01724138,0
115,0.25,0,1,0.9655172,0.9137931,0.8448276,0.7586207,0.6724138,0.637931,0.6034483,0.5344828,0.3103448,0.137931,0
116,0.25,0,1,0.9655172,0.9310345,0.8965517,0.8448276,0.637931,0.4655172,0.3793103,0.2413793,0.1724138,0.137931,0
117,0.25,0,1,0.9827586,0.8793103,0.8448276,0.7068966,0.6206897,0.5,0.2068966,0.1551724,0.0862069,0.05172414,0
118,0.25,0,1,0.9655172,0.7931034,0.7586207,0.7068966,0.6551724,0.5344828,0.362069,0.3448276,0.2586207,0.03448276,0
119,0.25,0,1,0.9482759,0.8965517,0.862069,0.6896552,0.6551724,0.6206897,0.5517241,0.3448276,0.2068966,0.1724138,0.0862069
120,0.25,0,1,0.9137931,0.8103448,0.7413793,0.6206897,0.5862069,0.4137931,0.362069,0.2931034,0.1551724,0.01724138,0
121,0.25,0,1,0.9655172,0.8965517,0.8275862,0.7931034,0.6206897,0.4827586,0.3448276,0.3103448,0.2931034,0.2068966,0.0862069
122,0.25,0,1,0.9655172,0.862069,0.8103448,0.7413793,0.6034483,0.5862069,0.5344828,0.4310345,0.2241379,0.1896552,0.0862069
123,0.25,0,1,0.9655172,0.9137931,0.7068966,0.6724138,0.637931,0.4827586,0.4482759,0.362069,0.2413793,0.01724138,0
124,0.25,0,1,0.8275862,0.6896552,0.6551724,0.6206897,0.5862069,0.5517241,0.4137931,0.362069,0.2758621,0.1206897,0
125,0.25,0,1,0.9137931,0.7413793,0.7068966,0.5,0.4655172,0.4310345,0.3793103,0.2413793,0.1896552,0.0862069,0.03448276
126,0.25,0,1,0.9482759,0.8448276,0.8103448,0.7758621,0.7413793,0.6034483,0.4310345,0.3448276,0.2068966,0.03448276,0
127,0.25,0,1,0.9827586,0.8793103,0.8448276,0.637931,0.5517241,0.4482759,0.4137931,0.2758621,0.2241379,0.137931,0.01724138
128,0.25,0,1,0.9655172,0.9137931,0.8448276,0.7931034,0.7413793,0.5862069,0.3275862,0.1896552,0.1551724,0.01724138,0
129,0.25,0,1,0.9482759,0.7758621,0.7241379,0.6551724,0.637931,0.4310345,0.2931034,0.2586207,0.2241379,0.137931,0.01724138
130,0.25,0,1,0.9482759,0.8793103,0.8275862,0.7241379,0.5344828,0.3965517,0.362069,0.3275862,0.2413793,0.01724138,0
131,0.25,0,1,0.9827586,0.8965517,0.7931034,0.6206897,0.5689655,0.4482759,0.3103448,0.2758621,0.1206897,0.0862069,0.03448276
132,0.25,0,1,0.8965517,0.862069,0.637931,0.5862069,0.5172414,0.3793103,0.362069,0.2758621,0.1724138,0.137931,0.0862069
133,0.25,0,1,0.9482759,0.8448276,0.6896552,0.6724138,0.5862069,0.4482759,0.3793103,0.3448276,0.1724138,0.03448276,0
134,0.25,0,1,0.9655172,0.9310345,0.7586207,0.7241379,0.6724138,0.4655172,0.4137931,0.2931034,0.06896552,0.03448276,0
135,0.25,0,1,0.9137931,0.8103448,0.6551724,0.6206897,0.5172414,0.4655172,0.3275862,0.2586207,0.2241379,0.2068966,0
136,0.25,0,1,0.9827586,0.8793103,0.8275862,0.6206897,0.5862069,0.5344828,0.4482759,0.3103448,0.2413793,0.03448276,0
137,0.25,0,1,0.9827586,0.8965517,0.7241379,0.5862069,0.5517241,0.4827586,0.4137931,0.3793103,0.3448276,0.137931,0.0862069
138,0.25,0,1,0.8275862,0.7413793,0.5344828,0.5,0.4482759,0.4137931,0.362069,0.2413793,0.1896552,0.137931,0
139,0.25,0,1,0.9137931,0.7068966,0.6724138,0.637931,0.6206897,0.5689655,0.4482759,0.3793103,0.2413793,0.2068966,0
140,0.25,0,1,0.9827586,0.8965517,0.6896552,0.637931,0.5517241,0.4310345,0.3275862,0.2931034,0.2586207,0.03448276,0
141,0.25,0,1,0.9137931,0.8103448,0.7586207,0.6206897,0.5862069,0.5517241,0.4827586,0.1896552,0.05172414,0.03448276,0
142,0.25,0,1,0.9482759,0.8448276,0.7931034,0.6206897,0.6034483,0.4310345,0.2931034,0.2586207,0.2068966,0.1724138,0.0862069
143,0.25,0,1,0.9482759,0.862069,0.7241379,0.5517241,0.5,0.3275862,0.2413793,0.1206897,0.06896552,0.03448276,0
144,0.25,0,1,0.9137931,0.8103448,0.6551724,0.637931,0.5862069,0.5172414,0.3448276,0.2931034,0.1724138,0.03448276,0
145,0.25,0,1,0.9655172,0.8793103,0.7931034,0.6551724,0.6206897,0.5172414,0.4827586,0.4310345,0.3448276,0.05172414,0.01724138
146,0.25,0,1,0.9137931,0.8103448,0.7068966,0.5,0.4655172,0.4310345,0.362069,0.2931034,0.1551724,0.137931,0.0862069
147,0.25,0,1,0.9655172,0.9137931,0.7931034,0.6206897,0.5862069,0.5517241,0.5172414,0.3103448,0.2586207,0.03448276,0
148,0.25,0,1,0.862069,0.8275862,0.8103448,0.637931,0.5517241,0.4310345,0.362069,0.3275862,0.2758621,0.05172414,0.01724138
149,0.25,0,1,0.9137931,0.8103448,0.7758621,0.7413793,0.7068966,0.5689655,0.3965517,0.362069,0.3103448,0.1724138,0
150,0.25,0,1,0.9655172,0.9310345,0.7758621,0.7413793,0.637931,0.4310345,0.3448276,0.2241379,0.137931,0.03448276,0
151,0.25,0,1,0.9482759,0.7758621,0.7413793,0.7068966,0.6206897,0.4827586,0.3103448,0.2931034,0.2586207,0.03448276,0
152,0.25,0,1,0.9482759,0.862069,0.8275862,0.7758621,0.7413793,0.6551724,0.3965517,0.2586207,0.1206897,0.0862069,0.03448276
153,0.25,0,1,0.9137931,0.8275862,0.7931034,0.7413793,0.5517241,0.4137931,0.3793103,0.1724138,0.137931,0.1034483,0.03448276
154,0.25,0,1,0.9655172,0.862069,0.8448276,0.7931034,0.6896552,0.4655172,0.4310345,0.3793103,0.2068966,0.1724138,0.0862069
155,0.25,0,1,0.862069,0.8275862,0.7758621,0.7241379,0.637931,0.4655172,0.3275862,0.2931034,0.2586207,0.1724138,0.03448276
156,0.25,0,1,0.9655172,0.9310345,0.9137931,0.8103448,0.7758621,0.5517241,0.4655172,0.3448276,0.2068966,0.137931,0
157,0.25,0,1,0.9655172,0.9310345,0.8793103,0.7241379,0.5,0.4827586,0.4482759,0.3448276,0.3103448,0.0862069,0.03448276
158,0.25,0,1,0.9655172,0.9137931,0.7758621,0.7241379,0.5689655,0.4482759,0.3965517,0.3793103,0.2413793,0.2068966,0
159,0.25,0,1,0.9137931,0.7413793,0.7068966,0.637931,0.5172414,0.5,0.2931034,0.2586207,0.2068966,0.137931,0
160,0.25,0,1,0.9655172,0.862069,0.6206897,0.5862069,0.5344828,0.4482759,0.3275862,0.2931034,0.1551724,0.01724138,0
161,0.25,0,1,0.9655172,0.9137931,0.862069,0.7413793,0.6206897,0.4310345,0.2931034,0.0862069,0.06896552,0.03448276,0
162,0.25,0,1,0.9655172,0.9310345,0.9137931,0.7413793,0.6896552,0.5862069,0.5344828,0.362069,0.2241379,0.1896552,0.0862069
163,0.25,0,1,0.9482759,0.7068966,0.5689655,0.5344828,0.5172414,0.4655172,0.3965517,0.2413793,0.2068966,0.1206897,0
164,0.25,0,1,0.8275862,0.7931034,0.7068966,0.5862069,0.4655172,0.4310345,0.3793103,0.2413793,0.2241379,0.0862069,0.03448276
165,0.25,0,1,0.9482759,0.7931034,0.5689655,0.3965517,0.2586207,0.2241379,0.1896552,0.1551724,0.1034483,0.0862069,0.03448276
166,0.25,0,1,0.9137931,0.8103448,0.7758621,0.7413793,0.6724138,0.5344828,0.5172414,0.3793103,0.1724138,0.1206897,0
167,0.25,0,1,0.9482759,0.7413793,0.6551724,0.5344828,0.5,0.3275862,0.2931034,0.1551724,0.1206897,0.0862069,0.03448276
168,0.25,0,1,0.9655172,0.9137931,0.862069,0.6551724,0.5517241,0.5344828,0.4827586,0.2413793,0.2068966,0.1724138,0.0862069
169,0.25,0,1,0.9482759,0.862069,0.8275862,0.7068966,0.6551724,0.5862069,0.5517241,0.5172414,0.3103448,0.1724138,0.0862069
170,0.25,0,1,0.9482759,0.7758621,0.7241379,0.6551724,0.6206897,0.4137931,0.3965517,0.362069,0.2241379,0.137931,0.01724138
171,0.25,0,1,0.8965517,0.862069,0.8103448,0.7586207,0.6896552,0.5517241,0.5,0.3965517,0.1896552,0.1034483,0
172,0.25,0,1,0.9655172,0.9137931,0.7586207,0.6206897,0.5689655,0.5344828,0.4827586,0.3793103,0.1724138,0.03448276,0
173,0.25,0,1,0.9655172,0.8793103,0.7586207,0.6724138,0.5517241,0.4310345,0.2241379,0.1896552,0.1551724,0.01724138,0
174,0.25,0,1,0.9827586,0.9482759,0.8103448,0.7586207,0.6724138,0.4310345,0.3448276,0.2241379,0.06896552,0.03448276,0
175,0.25,0,1,0.9827586,0.9482759,0.862069,0.7413793,0.6724138,0.5689655,0.5344828,0.4827586,0.4310345,0.137931,0
176,0.25,0,1,0.9137931,0.7931034,0.5344828,0.5,0.4482759,0.2758621,0.137931,0.1034483,0.06896552,0.01724138,0
177,0.25,0,1,0.9482759,0.8275862,0.6896552,0.6724138,0.637931,0.5,0.4137931,0.2931034,0.2586207,0.03448276,0
178,0.25,0,1,0.9482759,0.7068966,0.6724138,0.5344828,0.5,0.4137931,0.1896552,0.1551724,0.1034483,0.0862069,0.03448276
179,0.25,0,1,0.9655172,0.8965517,0.8448276,0.8103448,0.637931,0.5862069,0.3793103,0.3448276,0.3103448,0.1724138,0.0862069
180,0.25,0,1,0.8965517,0.862069,0.7586207,0.6551724,0.5172414,0.4655172,0.3448276,0.3275862,0.1206897,0.06896552,0
181,0.25,0,1,0.9137931,0.8103448,0.7758621,0.7241379,0.5172414,0.3793103,0.3448276,0.3103448,0.2758621,0.137931,0.0862069
182,0.25,0,1,0.9137931,0.8103448,0.7758621,0.7586207,0.6206897,0.5172414,0.4655172,0.3793103,0.0862069,0.05172414,0.01724138
183,0.25,0,1,0.8275862,0.7931034,0.637931,0.6034483,0.5689655,0.5172414,0.4482759,0.4310345,0.3448276,0.2241379,0
184,0.25,0,1,0.9655172,0.8103448,0.7241379,0.6206897,0.5689655,0.5,0.3275862,0.2758621,0.1724138,0.03448276,0
185,0.25,0,1,0.9137931,0.8275862,0.7758621,0.6551724,0.4827586,0.3448276,0.2931034,0.2241379,0.1896552,0.1551724,0
186,0.25,0,1,0.9655172,0.9310345,0.8275862,0.5862069,0.4482759,0.3965517,0.2758621,0.2413793,0.1896552,0.01724138,0
187,0.25,0,1,0.9655172,0.9137931,0.7413793,0.5344828,0.3965517,0.362069,0.3275862,0.2931034,0.2413793,0.1724138,0.0862069
188,0.25,0,1,0.8965517,0.8103448,0.7068966,0.6551724,0.5344828,0.4655172,0.2241379,0.2068966,0.1724138,0.03448276,0
189,0.25,0,1,0.9137931,0.8103448,0.6724138,0.6206897,0.5517241,0.5172414,0.4482759,0.2586207,0.05172414,0.01724138,0
190,0.25,0,1,0.9827586,0.8448276,0.7586207,0.5862069,0.5517241,0.5172414,0.4827586,0.4310345,0.1896552,0.137931,0.01724138
191,0.25,0,1,0.9827586,0.8965517,0.6896552,0.637931,0.5172414,0.4655172,0.2586207,0.2241379,0.1896552,0.1551724,0
