Web,Site,M_D_T,Lower_Taxon,Upper_Taxon,Lower_Guild,Upper_Guild,TL_lower_taxon,TL_upper_taxon,LS_lower_taxon,LS_upper_taxon,Freq
PL_FV,Walborough,dyad,Ranunculus_acris,Lotophila_atra,PL,FV,1,2,NA,adult,1
PL_FV,Walborough,dyad,Bellis_perennis,Scathophaga_stercoraria,PL,FV,1,2,NA,adult,5
PL_FV,Walborough,dyad,Bellis_perennis,Spelobia_clunipes,PL,FV,1,2,NA,adult,1
PL_FV,Walborough,dyad,Bellis_perennis,Siphona_urbana,PL,FV,1,2,NA,adult,1
PL_FV,Walborough,dyad,Ranunculus_acris,Hydrellia_maura,PL,FV,1,2,NA,adult,1
PL_FV,Walborough,dyad,Ranunculus_acris,Empis_sp.,PL,FV,1,2,NA,adult,1
PL_FV,Burnham-on-Sea,monad,Oenanthe_crocata,Scathophaga_stercoraria,PL,FV,1,2,NA,adult,13
PL_FV,Burnham-on-Sea,monad,Oenanthe_crocata,Meligethes_sp.,PL,FV,1,2,NA,adult,4
PL_FV,Burnham-on-Sea,monad,Oenanthe_crocata,Helophilus_pendulus,PL,FV,1,2,NA,adult,1
PL_FV,Burnham-on-Sea,monad,Raphanus_raphanistrum,Scathophaga_stercoraria,PL,FV,1,2,NA,adult,3
PL_FV,Burnham-on-Sea,monad,Oenanthe_crocata,Tenthredo_sp.,PL,FV,1,2,NA,adult,1
PL_FV,Burnham-on-Sea,monad,Oenanthe_crocata,Melanum_laterale,PL,FV,1,2,NA,adult,1
PL_FV,Burnham-on-Sea,monad,Oenanthe_crocata,Anthomyia_liturata,PL,FV,1,2,NA,adult,1
PL_FV,Burnham-on-Sea,monad,Raphanus_raphanistrum,Eristalis_tenax,PL,FV,1,2,NA,adult,1
PL_FV,Burnham-on-Sea,monad,Armeria_maritima,Scathophaga_calida,PL,FV,1,2,NA,adult,8
PL_FV,Burnham-on-Sea,monad,Cochlearia_officinalis,Scathophaga_stercoraria,PL,FV,1,2,NA,adult,18
PL_FV,Burnham-on-Sea,monad,Cochlearia_officinalis,Lasius_brunneus,PL,FV,1,2,NA,adult,1
PL_FV,Burnham-on-Sea,monad,Armeria_maritima,Scathophaga_stercoraria,PL,FV,1,2,NA,adult,25
PL_FV,Burnham-on-Sea,monad,Armeria_maritima,Oscinella_frit,PL,FV,1,2,NA,adult,1
PL_FV,Burnham-on-Sea,monad,Armeria_maritima,Paregle_audacula,PL,FV,1,2,NA,adult,1
PL_FV,Burnham-on-Sea,monad,Cochlearia_officinalis,Lispe_pygmaea,PL,FV,1,2,NA,adult,1
PL_FV,Haddon_Hill,triad,Potentilla_erecta,P1,PL,FV,1,2,NA,adult,1
PL_FV,Haddon_Hill,triad,Potentilla_erecta,Scathophaga_stercoraria,PL,FV,1,2,NA,adult,2
PL_FV,Haddon_Hill,triad,Potentilla_erecta,Rhamphomyia_hybotina,PL,FV,1,2,NA,adult,1
PL_FV,Haddon_Hill,triad,Potentilla_erecta,Siphona_urbana,PL,FV,1,2,NA,adult,1
PL_FV,Haddon_Hill,triad,Potentilla_erecta,Bombus_bohemicus,PL,FV,1,2,NA,adult,1
PL_FV,Haddon_Hill,triad,Potentilla_erecta,Sphaerophoria_sp.,PL,FV,1,2,NA,adult,1
PL_FV,Haddon_Hill,triad,Potentilla_erecta,Cerodontha_denticornis,PL,FV,1,2,NA,adult,2
PL_FV,Haddon_Hill,triad,Potentilla_erecta,Coenosia_tigrina,PL,FV,1,2,NA,adult,1
PL_FV,Haddon_Hill,triad,Rhododendron_sp.,Scathophaga_stercoraria,PL,FV,1,2,NA,adult,3
PL_FV,Haddon_Hill,triad,Vaccinium_myrtillus,Rhamphomyia_hybotina,PL,FV,1,2,NA,adult,1
PL_FV,Haddon_Hill,triad,Hyacinthoides_non-scripta,Bombus_pascuorum,PL,FV,1,2,NA,adult,1
PL_FV,Haddon_Hill,triad,Hyacinthoides_non-scripta,Bombus_rupestris,PL,FV,1,2,NA,adult,1
PL_FV,Haddon_Hill,triad,Hyacinthoides_non-scripta,Bombus_pratorum,PL,FV,1,2,NA,adult,1
PL_FV,Leigh_Woods,monad,Sanicula_europaea,Braconidae_sp._FV,PL,FV,1,2,NA,adult,1
PL_FV,Cloud_Hill,dyad,Hyacinthoides_non-scripta,Agriotes_pallidulus,PL,FV,1,2,NA,adult,1
PL_FV,Cloud_Hill,dyad,Potentilla_erecta,Hydrellia_maura,PL,FV,1,2,NA,adult,3
PL_FV,Cloud_Hill,dyad,Potentilla_erecta,Opomyza_germinationis,PL,FV,1,2,NA,adult,2
PL_FV,Cloud_Hill,dyad,Potentilla_erecta,C10,PL,FV,1,2,NA,adult,1
PL_FV,Cloud_Hill,dyad,Potentilla_erecta,Opomyza_petrei,PL,FV,1,2,NA,adult,1
PL_FV,Dolebury_Warren,triad,Leontodon_hispidus,Pegoplata_aestiva,PL,FV,1,2,NA,adult,2
PL_FV,Dolebury_Warren,triad,Lotus_corniculatus,Bombus_terrestris,PL,FV,1,2,NA,adult,4
PL_FV,Dolebury_Warren,triad,Leontodon_hispidus,Phaonia_incana,PL,FV,1,2,NA,adult,1
PL_FV,Dolebury_Warren,triad,Hypochaeris_maculata,Pegoplata_aestiva,PL,FV,1,2,NA,adult,1
PL_FV,Dolebury_Warren,triad,Leontodon_hispidus,Oedemera_nobilis,PL,FV,1,2,NA,adult,3
PL_FV,Dolebury_Warren,triad,Fragaria_vesca,Pyrgus_malvae,PL,FV,1,2,NA,adult,1
PL_FV,Dolebury_Warren,triad,Rubus_fruticosus_agg.,Andrena_minutula,PL,FV,1,2,NA,adult,2
PL_FV,Dolebury_Warren,triad,Hypochaeris_maculata,Lasioglossum_calceatum,PL,FV,1,2,NA,adult,1
PL_FV,Dolebury_Warren,triad,Leontodon_hispidus,Oedemera_lurida,PL,FV,1,2,NA,adult,1
PL_FV,Dolebury_Warren,triad,Leontodon_hispidus,Lasioglossum_villosulum,PL,FV,1,2,NA,adult,4
PL_FV,Dolebury_Warren,triad,Leontodon_hispidus,Lasioglossum_leucozonium,PL,FV,1,2,NA,adult,2
PL_FV,Dolebury_Warren,triad,Crepis_capillaris,Lasioglossum_villosulum,PL,FV,1,2,NA,adult,1
PL_FV,Dolebury_Warren,triad,Leontodon_hispidus,Pollenia_pediculata,PL,FV,1,2,NA,adult,1
PL_FV,Dolebury_Warren,triad,Veronica_officinalis,Bombus_lucorum,PL,FV,1,2,NA,adult,1
PL_FV,Dolebury_Warren,triad,Cirsium_vulgare,Pegoplata_aestiva,PL,FV,1,2,NA,adult,1
PL_FV,Dolebury_Warren,triad,Lotus_corniculatus,Bombus_pascuorum,PL,FV,1,2,NA,adult,1
PL_FV,Dolebury_Warren,triad,Bellis_perennis,Scathophaga_stercoraria,PL,FV,1,2,NA,adult,1
PL_FV,Dolebury_Warren,triad,Lotus_corniculatus,Polyommatus_icarus,PL,FV,1,2,NA,adult,2
PL_FV,Dolebury_Warren,triad,Lotus_corniculatus,Bombus_lapidarius,PL,FV,1,2,NA,adult,12
PL_FV,Dolebury_Warren,triad,Lotus_corniculatus,Scathophaga_stercoraria,PL,FV,1,2,NA,adult,1
PL_FV,Dolebury_Warren,triad,Lotus_corniculatus,Bombus_lucorum,PL,FV,1,2,NA,adult,11
PL_FV,Dolebury_Warren,triad,Ranunculus_repens,Pegoplata_aestiva,PL,FV,1,2,NA,adult,2
PL_FV,Dolebury_Warren,triad,Trifolium_pratense,Bombus_lucorum,PL,FV,1,2,NA,adult,2
PL_FV,Dolebury_Warren,triad,Lotus_corniculatus,Hydrellia_maura,PL,FV,1,2,NA,adult,1
PL_FV,Dolebury_Warren,triad,Bellis_perennis,Empis_albinervis,PL,FV,1,2,NA,adult,1
PL_FV,Dolebury_Warren,triad,Veronica_officinalis,Bombus_pratorum,PL,FV,1,2,NA,adult,1
PL_FV,Dolebury_Warren,triad,Veronica_officinalis,Sphegina_clunipes,PL,FV,1,2,NA,adult,1
PL_FV,Dolebury_Warren,triad,Veronica_officinalis,Rhamphomyia_longipes,PL,FV,1,2,NA,adult,1
PL_FV,Dolebury_Warren,triad,Veronica_officinalis,Thricops_semicinereus,PL,FV,1,2,NA,adult,1
PL_FV,Cloud_Hill,dyad,Potentilla_erecta,Formica_fusca,PL,FV,1,2,NA,adult,1
PL_FV,Cloud_Hill,dyad,Potentilla_erecta,Coenosia_pedella,PL,FV,1,2,NA,adult,1
PL_FV,Cloud_Hill,dyad,Potentilla_erecta,Scathophaga_stercoraria,PL,FV,1,2,NA,adult,5
PL_FV,Cloud_Hill,dyad,Potentilla_erecta,Myrmica_sp.,PL,FV,1,2,NA,adult,1
PL_FV,Penhale_Sands,monad,Hypochaeris_radicata,Psilothrix_viridicoeruleus,PL,FV,1,2,NA,adult,55
PL_FV,Penhale_Sands,monad,Hypochaeris_radicata,Bombus_lapidarius,PL,FV,1,2,NA,adult,3
PL_FV,Penhale_Sands,monad,Pilosella_officinarum,Psilothrix_viridicoeruleus,PL,FV,1,2,NA,adult,4
PL_FV,Penhale_Sands,monad,Lotus_corniculatus,Polyommatus_icarus,PL,FV,1,2,NA,adult,4
PL_FV,Penhale_Sands,monad,Anacamptis_pyramidalis,Sphaerophoria_sp.,PL,FV,1,2,NA,adult,1
PL_FV,Penhale_Sands,monad,Daucus_carota,Sarcophaga_nigriventris,PL,FV,1,2,NA,adult,3
PL_FV,Penhale_Sands,monad,Geranium_robertianum,Polyommatus_icarus,PL,FV,1,2,NA,adult,1
PL_FV,Penhale_Sands,monad,Hypochaeris_radicata,Olibrus_sp.,PL,FV,1,2,NA,adult,13
PL_FV,Penhale_Sands,monad,Hypochaeris_radicata,Meligethes_sp.,PL,FV,1,2,NA,adult,21
PL_FV,Penhale_Sands,monad,Ranunculus_bulbosus,Psilothrix_viridicoeruleus,PL,FV,1,2,NA,adult,2
PL_FV,Penhale_Sands,monad,Daucus_carota,Isomira_murina,PL,FV,1,2,NA,adult,5
PL_FV,Penhale_Sands,monad,Hypochaeris_radicata,Isomira_murina,PL,FV,1,2,NA,adult,3
PL_FV,Penhale_Sands,monad,Daucus_carota,Olibrus_sp.,PL,FV,1,2,NA,adult,1
PL_FV,Penhale_Sands,monad,Daucus_carota,Psilothrix_viridicoeruleus,PL,FV,1,2,NA,adult,28
PL_FV,Penhale_Sands,monad,Pilosella_officinarum,Isomira_murina,PL,FV,1,2,NA,adult,1
PL_FV,Penhale_Sands,monad,Daucus_carota,Meligethes_sp.,PL,FV,1,2,NA,adult,1
PL_FV,Penhale_Sands,monad,Daucus_carota,Agrypnus_murinus,PL,FV,1,2,NA,adult,2
PL_FV,Penhale_Sands,monad,Daucus_carota,Anaspis_pulicaria,PL,FV,1,2,NA,adult,1
PL_FV,Penhale_Sands,monad,Daucus_carota,Epirrhoe_alternata,PL,FV,1,2,NA,adult,1
PL_FV,Penhale_Sands,monad,Hypochaeris_radicata,Oedemera_nobilis,PL,FV,1,2,NA,adult,2
PL_FV,North_Hill,dyad,Erica_cinerea,Bombus_jonellus,PL,FV,1,2,NA,adult,7
PL_FV,North_Hill,dyad,Erica_cinerea,Bombus_lucorum,PL,FV,1,2,NA,adult,4
PL_FV,North_Hill,dyad,Erica_cinerea,Bombus_terrestris,PL,FV,1,2,NA,adult,9
PL_FV,North_Hill,dyad,Erica_cinerea,Andrena_scotica,PL,FV,1,2,NA,adult,1
PL_FV,North_Hill,dyad,Stellaria_holostea,Pegoplata_aestiva,PL,FV,1,2,NA,adult,1
PL_FV,North_Hill,dyad,Stellaria_holostea,Ragonycha_limbata,PL,FV,1,2,NA,adult,1
PL_FV,North_Hill,dyad,Heracleum_sp.,Chrysogaster_solstitialis,PL,FV,1,2,NA,adult,1
PL_FV,North_Hill,dyad,Heracleum_sp.,Scathophaga_stercoraria,PL,FV,1,2,NA,adult,4
PL_FV,North_Hill,dyad,Heracleum_sp.,Callophrys_rubi,PL,FV,1,2,NA,adult,1
PL_FV,North_Hill,dyad,Potentilla_erecta,Pegoplata_aestiva,PL,FV,1,2,NA,adult,1
PL_FV,Dunkery_Hill,monad,Potentilla_erecta,Pegoplata_aestiva,PL,FV,1,2,NA,adult,3
PL_FV,Dunkery_Hill,monad,Potentilla_erecta,Melanostoma_mellinum,PL,FV,1,2,NA,adult,9
PL_FV,Dunkery_Hill,monad,Erica_cinerea,Bombus_jonellus,PL,FV,1,2,NA,adult,3
PL_FV,Dunkery_Hill,monad,Erica_cinerea,Limoniidae_sp.,PL,FV,1,2,NA,adult,1
PL_FV,Dunkery_Hill,monad,Potentilla_erecta,Formica_fusca,PL,FV,1,2,NA,adult,8
PL_FV,Dunkery_Hill,monad,Erica_cinerea,Melanostoma_mellinum,PL,FV,1,2,NA,adult,1
PL_FV,Dunkery_Hill,monad,Hypochaeris_radicata,Pegoplata_aestiva,PL,FV,1,2,NA,adult,4
PL_FV,Dunkery_Hill,monad,Potentilla_erecta,Ochlodes_venata,PL,FV,1,2,NA,adult,1
PL_FV,Dunkery_Hill,monad,Potentilla_erecta,Anoplius_infuscatus,PL,FV,1,2,NA,adult,1
PL_FV,Dunkery_Hill,monad,Erica_cinerea,Bombus_lucorum,PL,FV,1,2,NA,adult,5
PL_FV,Dunkery_Hill,monad,Erica_cinerea,Apis_mellifera,PL,FV,1,2,NA,adult,2
PL_FV,Dunkery_Hill,monad,Erica_cinerea,Bombus_terrestris,PL,FV,1,2,NA,adult,13
PL_FV,Dunkery_Hill,monad,Erica_tetralix,Melanostoma_mellinum,PL,FV,1,2,NA,adult,2
PL_FV,Dunkery_Hill,monad,Erica_cinerea,Bombus_monticola,PL,FV,1,2,NA,adult,1
PL_FV,Dunkery_Hill,monad,Potentilla_erecta,Melanostoma_scalare,PL,FV,1,2,NA,adult,2
PL_FV,Braunton_Burrows,dyad,Rubus_fruticosus_agg.,Eristalis_abusivus,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Potentilla_erecta,Miridae_sp.,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Potentilla_erecta,Chlorops_hypostigma,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Potentilla_erecta,Hercostomus_nigripennis,PL,FV,1,2,NA,adult,6
PL_FV,Braunton_Burrows,dyad,Potentilla_erecta,Lonchoptera_furcata,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Rubus_fruticosus_agg.,Hercostomus_nigripennis,PL,FV,1,2,NA,adult,3
PL_FV,Braunton_Burrows,dyad,Rubus_fruticosus_agg.,Meromyza_sp.,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Rubus_fruticosus_agg.,Miridae_sp.,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Rubus_fruticosus_agg.,Lasioglossum_zonulus,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Ononis_repens,Melanargia_galathea,PL,FV,1,2,NA,adult,8
PL_FV,Braunton_Burrows,dyad,Leontodon_hispidus,Pegoplata_aestiva,PL,FV,1,2,NA,adult,2
PL_FV,Braunton_Burrows,dyad,Vicia_cracca,Bombus_lapidarius,PL,FV,1,2,NA,adult,2
PL_FV,Braunton_Burrows,dyad,Rhinanthus_minor,Thymelicus_sylvestris,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Trifolium_pratense,Melanargia_galathea,PL,FV,1,2,NA,adult,3
PL_FV,Braunton_Burrows,dyad,Trifolium_pratense,Thymelicus_sylvestris,PL,FV,1,2,NA,adult,9
PL_FV,Braunton_Burrows,dyad,Trifolium_pratense,Argynnis_aglaja,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Ononis_repens,P1,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Ononis_repens,Coenosia_sp._1,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Trifolium_dubium,Melanostoma_mellinum,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Daucus_carota,Ichneumonidae_sp._FV,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Daucus_carota,Ragonycha_fulva,PL,FV,1,2,NA,adult,3
PL_FV,Braunton_Burrows,dyad,Leontodon_hispidus,Sphaerophoria_sp.,PL,FV,1,2,NA,adult,2
PL_FV,Braunton_Burrows,dyad,Rubus_fruticosus_agg.,Ragonycha_fulva,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Ononis_repens,Thymelicus_sylvestris,PL,FV,1,2,NA,adult,3
PL_FV,Braunton_Burrows,dyad,Hypochaeris_radicata,Pegoplata_aestiva,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Achillea_millefolium,Pegoplata_aestiva,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Melilotus_officinalis,Thymelicus_sylvestris,PL,FV,1,2,NA,adult,2
PL_FV,Braunton_Burrows,dyad,Melilotus_officinalis,Zygaena_filipendulae,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Ranunculus_acris,Sciaridae_sp.,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Ranunculus_acris,Pegoplata_aestiva,PL,FV,1,2,NA,adult,6
PL_FV,Braunton_Burrows,dyad,Ononis_repens,Sphaerophoria_sp.,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Euphrasia_nemorosa,Sphaerophoria_scripta,PL,FV,1,2,NA,adult,2
PL_FV,Braunton_Burrows,dyad,Ononis_repens,Bombus_terrestris,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Galium_verum,Melanostoma_mellinum,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Euphrasia_nemorosa,Helina_evecta,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Ononis_repens,Zygaena_filipendulae,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Ononis_repens,Sphaerophoria_scripta,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Crepis_vesicaria,Bombus_lapidarius,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Ononis_repens,Eristalis_arbustorum,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Rhinanthus_minor,Ragonycha_fulva,PL,FV,1,2,NA,adult,2
PL_FV,Braunton_Burrows,dyad,Crepis_vesicaria,Sphaerophoria_sp.,PL,FV,1,2,NA,adult,2
PL_FV,Braunton_Burrows,dyad,Rhinanthus_minor,Apis_mellifera,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Rubus_fruticosus_agg.,Melanargia_galathea,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Rubus_fruticosus_agg.,Oedemera_nobilis,PL,FV,1,2,NA,adult,2
PL_FV,Braunton_Burrows,dyad,Thymus_polytrichus,Sphaerophoria_scripta,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Hypochaeris_radicata,Bombus_lapidarius,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Hypochaeris_radicata,Melanostoma_mellinum,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Crepis_vesicaria,Sphaerophoria_scripta,PL,FV,1,2,NA,adult,2
PL_FV,Braunton_Burrows,dyad,Crepis_vesicaria,Pegoplata_aestiva,PL,FV,1,2,NA,adult,3
PL_FV,Braunton_Burrows,dyad,Rhinanthus_minor,Bombus_hortorum,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Echium_vulgare,Bombus_lucorum,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Crepis_vesicaria,Oedemera_lurida,PL,FV,1,2,NA,adult,1
PL_FV,Braunton_Burrows,dyad,Ononis_repens,Argynnis_aglaja,PL,FV,1,2,NA,adult,1
PL_FV,Merthyr_Mawr,triad,Spergularia_media,Braconidae_sp._FV,PL,FV,1,2,NA,adult,2
PL_FV,Merthyr_Mawr,triad,Rubus_fruticosus_agg.,Oedemera_lurida,PL,FV,1,2,NA,adult,3
PL_FV,Merthyr_Mawr,triad,Rubus_fruticosus_agg.,Bombus_terrestris,PL,FV,1,2,NA,adult,5
PL_FV,Merthyr_Mawr,triad,Rubus_fruticosus_agg.,Maniola_jurtina,PL,FV,1,2,NA,adult,2
PL_FV,Merthyr_Mawr,triad,Crepis_vesicaria,Colletes_fodiens,PL,FV,1,2,NA,adult,1
PL_FV,Merthyr_Mawr,triad,Rubus_fruticosus_agg.,Aphantopus_hyperantus,PL,FV,1,2,NA,adult,1
PL_FV,Merthyr_Mawr,triad,Senecio_jacobaea,Ragonycha_fulva,PL,FV,1,2,NA,adult,5
PL_FV,Merthyr_Mawr,triad,Rubus_fruticosus_agg.,Bombus_lapidarius,PL,FV,1,2,NA,adult,4
PL_FV,Merthyr_Mawr,triad,Rubus_fruticosus_agg.,Osmia_aurulenta,PL,FV,1,2,NA,adult,1
PL_FV,Merthyr_Mawr,triad,Echium_vulgare,Zygaena_filipendulae,PL,FV,1,2,NA,adult,5
PL_FV,Merthyr_Mawr,triad,Senecio_jacobaea,Osmia_spinulosa,PL,FV,1,2,NA,adult,1
PL_FV,Merthyr_Mawr,triad,Senecio_jacobaea,Hoplitis_spinulosa,PL,FV,1,2,NA,adult,5
PL_FV,Merthyr_Mawr,triad,Senecio_jacobaea,Colletes_fodiens,PL,FV,1,2,NA,adult,5
PL_FV,Merthyr_Mawr,triad,Rubus_fruticosus_agg.,Zygaena_filipendulae,PL,FV,1,2,NA,adult,1
PL_FV,Merthyr_Mawr,triad,Ononis_repens,Maniola_jurtina,PL,FV,1,2,NA,adult,2
PL_FV,Merthyr_Mawr,triad,Echium_vulgare,Ragonycha_fulva,PL,FV,1,2,NA,adult,3
PL_FV,Merthyr_Mawr,triad,Rubus_fruticosus_agg.,Apis_mellifera,PL,FV,1,2,NA,adult,1
PL_FV,Merthyr_Mawr,triad,Rubus_fruticosus_agg.,Ragonycha_fulva,PL,FV,1,2,NA,adult,1
PL_FV,Merthyr_Mawr,triad,Pilosella_officinarum,Thymelicus_sylvestris,PL,FV,1,2,NA,adult,1
PL_FV,Merthyr_Mawr,triad,Ononis_repens,Bombus_lucorum,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Senecio_jacobaea,Ragonycha_fulva,PL,FV,1,2,NA,adult,2
PL_FV,Pembrey,dyad,Crepis_vesicaria,Hedychridium_ardens,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Chamerion_angustifolium,Ichneumonidae_sp._FV,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Chamerion_angustifolium,Chlorops_hypostigma,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Chamerion_angustifolium,Pyronia_tithonus,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Pilosella_officinarum,Apis_mellifera,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Chamerion_angustifolium,Zygaena_filipendulae,PL,FV,1,2,NA,adult,2
PL_FV,Pembrey,dyad,Ononis_repens,Paragus_haemorrhous,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Ononis_repens,Chamaemyia_sp.,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Ononis_repens,Pyronia_tithonus,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Chamerion_angustifolium,Botanophila_sonchi,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Oenothera_glazioviana,Oedemera_lurida,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Senecio_jacobaea,Colletes_fodiens,PL,FV,1,2,NA,adult,6
PL_FV,Pembrey,dyad,Senecio_jacobaea,Rhinophora_lepida,PL,FV,1,2,NA,adult,3
PL_FV,Pembrey,dyad,Crepis_vesicaria,Colletes_fodiens,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Crepis_vesicaria,Fannia_fuscula,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Crepis_vesicaria,Rhinophora_lepida,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Crepis_vesicaria,Meromyza_sp.,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Crepis_vesicaria,Cteniopus_sulphureus,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Senecio_jacobaea,Pyronia_tithonus,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Senecio_jacobaea,Sarcophaga_teretirostris,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Senecio_jacobaea,Sarcophga_sp.,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Senecio_jacobaea,Sarcophaga_nigriventris,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Ononis_repens,Hipparchia_semele,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Hypochaeris_radicata,Colletes_fodiens,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Rubus_fruticosus_agg.,Bombus_pascuorum,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Senecio_jacobaea,Oedemera_lurida,PL,FV,1,2,NA,adult,4
PL_FV,Pembrey,dyad,Ononis_repens,Bombus_terrestris,PL,FV,1,2,NA,adult,1
PL_FV,Pembrey,dyad,Eryngium_maritimum,Colletes_fodiens,PL,FV,1,2,NA,adult,1
